number,security_code,as_of_year,cutoff_notice
1,605365,2021,2022-04-26
2,688676,2021,2022-04-16
3,300953,2021,2022-04-02
4,603055,2021,2022-04-27
5,688728,2021,2022-04-28
6,688082,2021,2022-03-02
7,600935,2021,2022-03-31
8,300821,2021,2022-03-22
9,301099,2021,2022-04-25
10,688097,2021,2022-04-26
11,301149,2021,2022-04-20
12,688556,2021,2022-04-29
13,002487,2021,2022-04-28
14,688075,2021,2022-04-28
15,605287,2021,2022-04-28
16,605507,2021,2022-04-16
17,605138,2021,2022-04-19
18,300957,2021,2022-03-23
19,300442,2021,2022-04-27
20,300975,2021,2022-04-25
21,301155,2021,2022-04-28
22,000922,2021,2022-04-09
23,688680,2021,2022-04-26
24,688122,2021,2022-04-29
25,688578,2021,2022-04-27
26,600032,2021,2022-04-20
27,605368,2021,2022-03-23
28,300650,2021,2022-03-25
29,300981,2021,2022-04-28
30,001203,2021,2022-03-04
31,301177,2021,2022-04-22
32,605056,2021,2022-04-15
33,600078,2021,2022-04-30
34,600727,2021,2022-03-25
35,600556,2021,2022-04-19
36,002753,2021,2022-04-29
37,605555,2021,2022-04-15
38,603002,2021,2022-04-20
39,601528,2021,2022-03-31
40,002254,2021,2022-04-11
41,000707,2021,2022-03-10
42,300973,2021,2022-04-25
43,688185,2021,2022-03-28
44,301026,2021,2022-04-25
45,688696,2021,2022-04-22
46,688336,2021,2022-03-29
47,688499,2021,2022-04-08
48,605077,2021,2022-04-20
49,002189,2021,2022-04-27
50,603290,2021,2022-04-09
51,688385,2021,2022-03-21
52,688575,2021,2022-04-29
53,605277,2021,2022-03-29
54,300541,2021,2022-04-12
55,688121,2021,2022-04-29
56,300994,2021,2022-04-23
57,001218,2021,2022-03-30
58,605011,2021,2022-04-28
59,600802,2021,2022-04-29
60,688105,2021,2022-04-22
