priority_rank,market_type,peer_group,screening_status,recommended_review_mode,total_company_count,decided_security_count,decided_watch_count,unreviewed_company_count,deep_review_candidate_count,advance_to_deep_review_count,borderline_count,triage_reject_count,challenged_count,max_triage_score,average_triage_score,top_unreviewed_examples
1,A_SHARE,机械设备-通用设备-起重运输设备,not_started,peer_group_calibration,7,0,0,7,1,0,1,6,0,63.26,56.13,600320:振华重工:63.26:borderline | 300420:五洋自控:59.80:reject | 603194:中力股份:58.32:reject | 002483:润邦股份:54.42:reject | 301016:雷尔伟:52.75:reject
2,A_SHARE,有色金属-基本金属-铝,partially_screened,peer_group_calibration,25,1,0,24,1,0,1,23,0,62.81,51.55,603876:鼎胜新材:62.81:borderline | 300337:银邦股份:59.61:reject | 603271:永杰新材:58.01:reject | 600361:创新新材:56.88:reject | 002532:天山铝业:56.05:reject
3,A_SHARE,机械设备-专用设备-印刷包装机械,not_started,peer_group_calibration,7,0,0,7,1,0,1,6,0,62.63,55.78,300509:新美星:62.63:borderline | 603901:永创智能:58.94:reject | 002209:达 意 隆:56.04:reject | 001256:炜冈科技:55.39:reject | 300512:中亚股份:53.00:reject
4,A_SHARE,医药生物-保健护理-保健护理服务,not_started,peer_group_calibration,1,0,0,1,1,0,1,0,0,62.62,62.62,600682:南京新百:62.62:borderline
5,A_SHARE,农林牧渔-渔业-淡水渔业,not_started,peer_group_calibration,2,0,0,2,1,0,1,1,0,62.55,59.13,600257:大湖股份:62.55:borderline | 300094:国联水产:55.71:reject
6,A_SHARE,纺织服装-纺织-毛纺,not_started,peer_group_calibration,4,0,0,4,1,0,1,3,0,62.51,55.69,300918:南山智尚:62.51:borderline | 603889:新澳股份:57.83:reject | 601599:浙文影业:54.16:reject | 002193:ST如意:48.26:reject
7,A_SHARE,医药生物-化学制药-化学辅料药,not_started,peer_group_calibration,1,0,0,1,1,0,1,0,0,62.51,62.51,688356:键凯科技:62.51:borderline
8,A_SHARE,休闲、生活及专业服务-休闲服务-景区,not_started,peer_group_calibration,10,0,0,10,1,0,1,9,0,62.32,48.24,600054:黄山旅游:62.32:borderline | 300144:宋城演艺:54.13:reject | 002033:丽江股份:49.96:reject | 600593:大连圣亚:48.16:reject | 000888:峨眉山Ａ:48.00:reject
9,A_SHARE,基础化工-化学原料-纯碱,not_started,peer_group_calibration,4,0,0,4,1,0,1,3,0,62.21,50.56,000683:博源化工:62.21:borderline | 601065:江盐集团:49.62:reject | 000822:山东海化:45.80:reject | 000707:双环科技:44.63:reject
10,A_SHARE,基础化工-化学原料-磷化工,not_started,peer_group_calibration,6,0,0,6,1,0,1,5,0,62.17,52.64,600141:兴发集团:62.17:borderline | 002895:川恒股份:59.64:reject | 002312:川发龙蟒:51.04:reject | 600078:澄星股份:50.15:reject | 300505:川金诺:49.85:reject
11,A_SHARE,休闲、生活及专业服务-休闲服务-酒店,not_started,peer_group_calibration,6,0,0,6,1,0,1,5,0,62.13,48.67,600754:锦江酒店:62.13:borderline | 301073:君亭酒店:53.48:reject | 600258:首旅酒店:52.23:reject | 601007:金陵饭店:46.81:reject | 000428:华天酒店:44.41:reject
12,A_SHARE,互联网-互联网金融-第三方支付,not_started,peer_group_calibration,2,0,0,2,1,0,1,1,0,62.06,56.81,300773:拉卡拉:62.06:borderline | 002647:仁东控股:51.57:reject
13,A_SHARE,基础化工-化学制品-涂料涂漆,not_started,peer_group_calibration,15,0,0,15,1,0,1,14,0,62.05,51.21,301683:慧谷新材:62.05:borderline | 002256:兆新股份:59.58:reject | 603737:三棵树:54.96:reject | 603826:坤彩科技:54.06:reject | 603823:百合花:53.65:reject
14,A_SHARE,基础化工-化肥农药-磷肥,not_started,peer_group_calibration,2,0,0,2,1,0,1,1,0,62.05,52.76,600096:云天化:62.05:borderline | 600470:六国化工:43.47:reject
15,A_SHARE,基础化工-橡胶制品-轮胎,not_started,peer_group_calibration,12,0,0,12,1,0,1,11,0,61.99,52.11,603049:中策橡胶:61.99:borderline | 601966:玲珑轮胎:59.76:reject | 002984:森麒麟:56.45:reject | 001233:海安集团:55.42:reject | 601058:赛轮轮胎:54.49:reject
16,A_SHARE,基础化工-化学原料-氯碱,not_started,peer_group_calibration,11,0,0,11,1,0,1,10,0,61.93,49.62,601216:君正集团:61.93:borderline | 000422:湖北宜化:53.91:reject | 600618:氯碱化工:51.77:reject | 002092:中泰化学:51.25:reject | 600075:新疆天业:50.49:reject
17,A_SHARE,建材-水泥-水泥,not_started,peer_group_calibration,17,0,0,17,1,0,1,16,0,61.78,49.47,600801:华新建材:61.78:borderline | 600668:尖峰集团:58.46:reject | 600585:海螺水泥:57.80:reject | 600449:宁夏建材:55.22:reject | 000672:上峰水泥:52.89:reject
18,A_SHARE,基础化工-化肥农药-农药,not_started,peer_group_calibration,34,0,0,34,1,0,1,33,0,61.63,51.68,301035:润丰股份:61.63:borderline | 002734:利民股份:59.07:reject | 603599:广信股份:58.42:reject | 600731:湖南海利:57.48:reject | 002004:华邦健康:57.46:reject
19,A_SHARE,基础化工-合成纤维及树脂-氨纶,not_started,peer_group_calibration,2,0,0,2,1,0,1,1,0,61.41,52.94,002064:华峰化学:61.41:borderline | 002254:泰和新材:44.47:reject
20,A_SHARE,建材-陶瓷-陶瓷,not_started,peer_group_calibration,8,0,0,8,1,0,1,7,0,61.39,50.88,001386:马可波罗:61.39:borderline | 001216:华瓷股份:59.16:reject | 003012:东鹏控股:52.43:reject | 001322:箭牌家居:51.41:reject | 605086:龙高股份:48.25:reject
21,A_SHARE,纺织服装-服装家纺-家纺,not_started,peer_group_calibration,6,0,0,6,1,0,1,5,0,61.13,53.95,002327:富安娜:61.13:borderline | 920262:太湖雪:57.38:reject | 002293:罗莱生活:56.49:reject | 603365:水星家纺:54.25:reject | 003041:真爱美家:52.05:reject
22,A_SHARE,纺织服装-纺织-棉纺,not_started,peer_group_calibration,8,0,0,8,1,0,1,7,0,61.07,55.10,601339:百隆东方:61.07:borderline | 002042:华孚时尚:59.68:reject | 002083:孚日股份:59.25:reject | 300888:稳健医疗:58.09:reject | 000850:华茂股份:56.43:reject
23,A_SHARE,综合-综合-综合,not_started,ask_reviewer_before_decision,7,0,0,7,1,0,1,6,0,60.98,49.17,600673:东阳光:60.98:borderline | 000009:中国宝安:58.42:reject | 300977:深圳瑞捷:51.69:reject | 600805:悦达投资:49.36:reject | 000833:粤桂股份:49.13:reject
24,A_SHARE,休闲、生活及专业服务-专业服务-调查与咨询服务,not_started,peer_group_calibration,14,0,0,14,1,0,1,13,0,60.93,51.75,300284:苏交科:60.93:borderline | 300416:苏试试验:57.77:reject | 300492:华图山鼎:55.15:reject | 603018:华设集团:54.76:reject | 000779:甘咨询:53.45:reject
25,A_SHARE,农林牧渔-畜牧业-动物用药,not_started,peer_group_calibration,9,0,0,9,1,0,1,8,0,60.92,52.65,920729:永顺生物:60.92:borderline | 688526:科前生物:55.09:reject | 300871:回盛生物:54.59:reject | 603566:普莱柯:54.30:reject | 600195:中牧股份:54.01:reject
26,A_SHARE,农林牧渔-农业-种子,not_started,peer_group_calibration,10,0,0,10,1,0,1,9,0,60.72,52.29,600354:敦煌种业:60.72:borderline | 000998:隆平高科:56.53:reject | 600371:万向德农:55.26:reject | 920403:康农种业:54.16:reject | 002041:登海种业:53.55:reject
27,A_SHARE,交运设备-汽车-汽车服务,not_started,peer_group_calibration,7,0,0,7,1,0,1,6,0,60.67,57.54,300938:信测标准:60.67:borderline | 603377:ST东时:58.14:reject | 300825:阿尔特:57.83:reject | 301459:丰茂股份:57.25:reject | 600611:大众交通:57.00:reject
28,A_SHARE,机械设备-机器人-服务机器人,not_started,peer_group_calibration,2,0,0,2,1,0,1,1,0,60.49,59.92,603486:科沃斯:60.49:borderline | 688169:石头科技:59.35:reject
29,A_SHARE,金融-银行-股份制与城商行,partially_screened,peer_group_calibration,36,9,3,27,1,0,1,26,0,60.42,54.19,002966:苏州银行:60.42:borderline | 601997:贵阳银行:59.45:reject | 601187:厦门银行:58.70:reject | 600928:西安银行:58.46:reject | 600000:浦发银行:56.58:reject
30,A_SHARE,基础化工-化学原料-聚氨酯,not_started,peer_group_calibration,9,0,0,9,1,0,1,8,0,60.27,51.91,603192:汇得科技:60.27:borderline | 600230:沧州大化:56.28:reject | 603026:石大胜华:54.16:reject | 600309:万华化学:53.21:reject | 601678:滨化股份:51.97:reject
31,A_SHARE,钢铁-铁矿石-铁矿石,not_started,peer_group_calibration,7,0,0,7,1,0,1,6,0,60.25,49.42,600295:鄂尔多斯:60.25:borderline | 000923:河钢资源:51.62:reject | 001203:大中矿业:50.40:reject | 601969:XD海南矿:47.73:reject | 000655:金岭矿业:46.60:reject
32,A_SHARE,基础化工-化学原料-无机盐,not_started,peer_group_calibration,8,0,0,8,1,0,1,7,0,60.01,51.37,603067:振华股份:60.01:borderline | 603299:苏盐井神:59.13:reject | 600367:红星发展:52.28:reject | 600929:雪天盐业:52.01:reject | 600328:中盐化工:48.46:reject
33,A_SHARE,建材-其他建材-管材,not_started,ask_reviewer_before_decision,7,0,0,7,0,0,0,7,0,59.80,51.52,603856:东宏股份:59.80:reject | 002372:伟星新材:54.21:reject | 300599:雄塑科技:53.25:reject | 002641:公元股份:52.00:reject | 002108:沧州明珠:49.24:reject
34,A_SHARE,休闲、生活及专业服务-休闲服务-旅游服务,not_started,low_barrier_group_rejection_review,17,0,0,17,0,0,0,17,0,58.76,48.94,600576:祥源文旅:58.76:reject | 300859:西域旅游:57.28:reject | 603099:长白山:54.14:reject | 600138:中青旅:52.47:reject | 002707:众信旅游:51.63:reject
35,A_SHARE,休闲、生活及专业服务-休闲服务-餐饮,not_started,low_barrier_group_rejection_review,4,0,0,4,0,0,0,4,0,58.65,49.02,605108:同庆楼:58.65:reject | 002186:全 聚 德:50.06:reject | 002306:*ST云网:45.00:reject | 000721:西安饮食:42.38:reject
36,A_SHARE,家电-其他家电-其他家电,not_started,ask_reviewer_before_decision,9,0,0,9,0,0,0,9,0,57.90,52.28,300824:北鼎股份:57.90:reject | 605117:德业股份:57.11:reject | 688475:萤石网络:56.45:reject | 603075:热威股份:54.46:reject | 603551:奥普科技:53.58:reject
37,A_SHARE,交运设备-汽车-其他专用车辆,not_started,ask_reviewer_before_decision,1,0,0,1,0,0,0,1,0,57.18,57.18,300201:海伦哲:57.18:reject
38,A_SHARE,休闲、生活及专业服务-休闲服务-其他休闲服务,not_started,ask_reviewer_before_decision,2,0,0,2,0,0,0,2,0,56.03,48.59,300795:米奥会展:56.03:reject | 300860:锋尚文化:41.16:reject
39,A_SHARE,基础化工-合成纤维及树脂-其他纤维,not_started,ask_reviewer_before_decision,12,0,0,12,0,0,0,12,0,55.60,50.14,300993:玉马科技:55.60:reject | 300699:光威复材:54.12:reject | 603406:天富龙:52.93:reject | 600527:江南高纤:52.42:reject | 601112:振石股份:51.91:reject
40,A_SHARE,轻工制造-文娱用品-其他文娱用品,not_started,ask_reviewer_before_decision,2,0,0,2,0,0,0,2,0,55.20,49.92,002899:英派斯:55.20:reject | 002862:实丰文化:44.63:reject
41,A_SHARE,商贸零售-零售-百货,not_started,low_barrier_group_rejection_review,34,0,0,34,0,0,0,34,0,51.43,40.15,600729:重庆百货:51.43:reject | 002419:天虹股份:50.53:reject | 000417:合百集团:48.40:reject | 000501:武商集团:48.02:reject | 301078:孩子王:44.17:reject
42,A_SHARE,建筑-装修装饰-装修装饰,not_started,low_barrier_group_rejection_review,27,0,0,27,0,0,0,27,0,50.77,40.67,603725:天安新材:50.77:reject | 002375:亚厦股份:50.61:reject | 002247:聚力文化:48.54:reject | 301365:矩阵股份:48.00:reject | 002830:名雕股份:47.06:reject
43,A_SHARE,商贸零售-贸易-贸易,not_started,low_barrier_group_rejection_review,39,0,0,39,0,0,0,39,0,50.70,41.73,000034:神州数码:50.70:reject | 600415:小商品城:50.51:reject | 002556:辉隆股份:50.37:reject | 001316:润贝航科:49.83:reject | 001287:中电港:48.42:reject
44,A_SHARE,商贸零售-商业物业经营-一般物业经营,not_started,low_barrier_group_rejection_review,3,0,0,3,0,0,0,3,0,47.67,42.37,000056:*ST皇庭:47.67:reject | 000882:华联股份:40.63:reject | 603682:锦和商管:38.82:reject
45,A_SHARE,商贸零售-零售-连锁,not_started,low_barrier_group_rejection_review,8,0,0,8,0,0,0,8,0,47.27,40.32,300622:博士眼镜:47.27:reject | 300972:万辰集团:43.54:reject | 000829:天音控股:40.80:reject | 002024:ST易购:40.08:reject | 002697:红旗连锁:39.94:reject
46,A_SHARE,商贸零售-零售-超市,not_started,low_barrier_group_rejection_review,6,0,0,6,0,0,0,6,0,46.07,40.36,601933:永辉超市:46.07:reject | 603708:家家悦:42.29:reject | 002251:步步高:41.31:reject | 601116:三江购物:39.31:reject | 000759:中百集团:37.36:reject
47,A_SHARE,休闲、生活及专业服务-专业服务-建筑装饰设计,not_started,low_barrier_group_rejection_review,7,0,0,7,0,0,0,7,0,44.74,38.84,603357:设计总院:44.74:reject | 002811:郑中设计:41.90:reject | 300564:筑博设计:38.94:reject | 300500:启迪设计:37.99:reject | 301167:建研设计:37.89:reject
48,A_SHARE,建筑-基础建设-其他基础建设,not_started,ask_reviewer_before_decision,5,0,0,5,0,0,0,5,0,43.94,40.18,002116:中国海诚:43.94:reject | 601868:中国能建:43.78:reject | 000010:*ST美丽:40.65:reject | 002205:国统股份:37.27:reject | 600491:ST龙元:35.28:reject
49,A_SHARE,基础化工-化学制品-日用化学品,not_started,batch_reject_with_spot_check,21,0,0,21,0,0,0,21,0,59.97,50.65,600315:上海家化:59.97:reject | 001328:登康口腔:57.70:reject | 301300:远翔新材:55.05:reject | 300910:瑞丰新材:54.74:reject | 300957:贝泰妮:54.35:reject
50,A_SHARE,建材-玻璃-玻璃,not_started,batch_reject_with_spot_check,10,0,0,10,0,0,0,10,0,59.94,51.49,000012:南  玻Ａ:59.94:reject | 002613:北玻股份:57.43:reject | 601636:旗滨集团:55.26:reject | 600876:凯盛新能:53.94:reject | 600819:耀皮玻璃:53.74:reject
51,A_SHARE,国防与装备-航空航天装备-航天装备,not_started,batch_reject_with_spot_check,16,0,0,16,0,0,0,16,0,59.92,52.13,300101:振芯科技:59.92:reject | 002625:光启技术:55.68:reject | 688563:航材股份:54.71:reject | 600879:航天电子:54.03:reject | 600118:中国卫星:53.28:reject
52,A_SHARE,文化传媒-教育-在线教育,not_started,batch_reject_with_spot_check,3,0,0,3,0,0,0,3,0,59.85,53.38,300010:ST豆神:59.85:reject | 600661:昂立教育:53.85:reject | 300338:*ST开元:46.43:reject
