number,security_code,as_of_year,cutoff_notice
1,001335,2025,2026-04-29
2,603248,2025,2026-04-23
3,301632,2025,2026-04-15
4,603409,2025,2026-04-18
5,688605,2025,2026-04-10
6,002961,2025,2026-04-01
7,301630,2025,2026-04-21
8,301225,2025,2026-04-22
9,301575,2025,2026-04-24
10,603262,2025,2026-04-28
11,001388,2025,2026-04-24
12,001390,2025,2026-04-23
13,301595,2025,2026-03-31
14,605580,2025,2026-04-16
15,688809,2025,2026-04-27
16,688322,2025,2026-04-20
17,301449,2025,2026-04-28
18,688267,2025,2026-04-22
19,301458,2025,2026-04-23
20,001396,2025,2026-04-27
21,688117,2025,2026-04-24
22,301609,2025,2026-04-28
23,603061,2025,2026-03-11
24,688727,2025,2026-04-28
25,300139,2025,2026-04-25
26,688312,2025,2026-04-11
27,688070,2025,2026-04-01
28,688677,2025,2026-04-25
29,688112,2025,2026-03-25
30,688498,2025,2026-03-25
31,688069,2025,2026-04-18
32,688486,2025,2026-04-10
33,605298,2025,2026-04-10
34,300508,2025,2026-03-31
35,688150,2025,2026-04-30
36,301510,2025,2026-04-29
37,688592,2025,2026-04-28
38,688108,2025,2026-03-26
39,688222,2025,2026-04-29
40,001367,2025,2026-03-26
41,688371,2025,2026-04-18
42,603207,2025,2026-04-28
43,688757,2025,2026-04-25
44,688582,2025,2026-03-24
45,600593,2025,2026-04-11
46,688681,2025,2026-04-16
47,300960,2025,2026-03-27
48,300971,2025,2026-04-23
49,301148,2025,2026-04-10
50,301556,2025,2026-04-27
51,301021,2025,2026-04-25
52,301373,2025,2026-04-16
53,301389,2025,2026-04-27
