number,security_code,as_of_year,cutoff_notice
1,300811,2022,2023-04-26
2,301379,2022,2023-04-28
3,301280,2022,2023-03-31
4,688376,2022,2023-03-31
5,603132,2022,2023-03-28
6,603519,2022,2023-04-26
7,688663,2022,2023-04-26
8,603182,2022,2023-04-18
9,688147,2022,2023-04-25
10,688052,2022,2023-04-24
11,688455,2022,2023-04-26
12,301363,2022,2023-04-18
13,300916,2022,2023-04-19
14,301160,2022,2023-04-12
15,603097,2022,2023-04-14
16,603209,2022,2023-04-25
17,301282,2022,2023-03-30
18,688553,2022,2023-04-06
19,688050,2022,2023-04-19
20,603538,2022,2023-04-04
21,301367,2022,2023-03-30
22,300852,2022,2023-03-31
23,301110,2022,2023-04-15
24,688630,2022,2023-04-20
25,301208,2022,2023-04-25
26,300855,2022,2023-04-19
27,301316,2022,2023-04-21
28,301283,2022,2023-04-25
29,688348,2022,2023-04-26
30,301269,2022,2023-04-28
31,688073,2022,2023-04-20
32,688439,2022,2023-04-12
33,301187,2022,2023-04-15
34,301278,2022,2023-04-24
35,001230,2022,2023-04-28
36,688281,2022,2023-04-21
37,000567,2022,2023-04-26
38,603280,2022,2023-04-21
39,688621,2022,2023-03-11
40,301153,2022,2023-03-31
41,605060,2022,2023-03-30
42,688252,2022,2023-03-30
43,002667,2022,2023-03-10
44,688432,2022,2023-03-30
45,001332,2022,2023-04-11
46,301338,2022,2023-04-27
47,301276,2022,2023-04-24
48,688333,2022,2023-03-31
49,301256,2022,2023-02-28
50,301195,2022,2023-04-11
51,300534,2022,2023-04-15
52,301339,2022,2023-04-26
53,001258,2022,2023-04-20
54,301212,2022,2023-04-19
55,301132,2022,2023-04-25
56,301319,2022,2023-04-21
57,301096,2022,2023-03-29
58,301391,2022,2023-03-15
59,300838,2022,2023-04-26
60,301069,2022,2023-04-26
