number,security_code,as_of_year,cutoff_notice
1,300999,2020,2021-03-24
2,601609,2020,2021-04-27
3,688599,2020,2021-03-31
4,000727,2020,2021-03-15
5,000032,2020,2021-04-23
6,601686,2020,2021-04-09
7,688981,2020,2021-04-01
8,300919,2020,2021-04-09
9,601816,2020,2021-04-30
10,300866,2020,2021-03-31
11,601995,2020,2021-03-31
12,000737,2020,2021-03-10
13,002432,2020,2021-04-28
14,600841,2020,2021-03-16
15,600662,2020,2021-03-25
16,605222,2020,2021-03-30
17,000751,2020,2021-04-02
18,002709,2020,2021-03-25
19,600956,2020,2021-03-20
20,688169,2020,2021-04-30
21,603195,2020,2021-04-29
22,002996,2020,2021-04-13
23,002999,2020,2021-04-27
24,300842,2020,2021-04-26
25,000875,2020,2021-04-29
26,603565,2020,2021-04-13
27,601399,2020,2021-04-21
28,600918,2020,2021-04-24
29,601568,2020,2021-01-28
30,300888,2020,2021-04-20
31,601702,2020,2021-04-27
32,600736,2020,2021-04-30
33,605050,2020,2021-03-01
34,603392,2020,2021-03-05
35,300063,2020,2021-04-16
36,002932,2020,2021-04-28
37,000903,2020,2021-04-29
38,688298,2020,2021-04-29
39,600117,2020,2021-04-28
40,603719,2020,2021-03-30
41,605266,2020,2021-04-15
42,688777,2020,2021-03-30
43,603599,2020,2021-04-28
44,688408,2020,2021-04-16
45,688390,2020,2021-04-23
46,605007,2020,2021-04-27
47,002984,2020,2021-02-02
48,605158,2020,2021-04-20
49,605333,2020,2021-04-28
50,003022,2020,2021-03-24
51,002738,2020,2021-04-28
52,003012,2020,2021-04-22
53,300815,2020,2021-03-30
54,605166,2020,2021-04-16
55,002993,2020,2021-03-16
56,002138,2020,2021-02-27
57,688289,2020,2021-03-30
58,601827,2020,2021-03-31
59,688063,2020,2021-04-28
60,601187,2020,2021-04-27
