number,security_code,as_of_year,cutoff_notice
1,600633,2022,2023-04-13
2,600862,2022,2023-03-16
3,002597,2022,2023-04-27
4,002517,2022,2023-04-27
5,000408,2022,2023-03-10
6,300373,2022,2023-04-28
7,603688,2022,2023-03-22
8,000733,2022,2023-04-28
9,603279,2022,2023-04-27
10,002738,2022,2023-04-27
11,688068,2022,2023-04-28
12,300604,2022,2023-04-21
