number,security_code,as_of_year,cutoff_notice
1,000019,2017,2018-04-24
2,000523,2017,2018-04-25
3,603970,2017,2018-04-24
4,603661,2017,2018-04-23
5,603363,2017,2018-01-26
6,600579,2017,2018-03-28
7,002036,2017,2018-04-24
8,603877,2017,2018-04-24
9,603605,2017,2018-04-18
10,002258,2017,2018-02-01
11,002043,2017,2018-04-10
12,600777,2017,2018-04-27
13,603157,2017,2018-03-23
14,002840,2017,2018-04-12
15,300136,2017,2018-04-18
16,000546,2017,2018-04-17
17,300676,2017,2018-04-20
18,002531,2017,2018-04-21
19,600933,2017,2018-04-12
20,300616,2017,2018-04-09
21,603517,2017,2018-04-16
22,300232,2017,2018-04-25
23,603035,2017,2018-04-27
24,300383,2017,2018-03-17
25,601326,2017,2018-03-30
26,002918,2017,2018-04-20
27,300729,2017,2018-04-21
28,603337,2017,2018-03-31
29,600734,2017,2018-04-12
30,603730,2017,2018-02-28
31,601949,2017,2018-04-27
32,002897,2017,2018-04-26
33,600846,2017,2018-03-31
34,600781,2017,2018-04-21
35,603444,2017,2018-04-03
36,603801,2017,2018-03-16
37,300628,2017,2018-04-25
38,300596,2017,2018-03-28
39,603300,2017,2018-04-26
40,002847,2017,2018-04-21
41,603920,2017,2018-04-25
42,002913,2017,2018-04-23
43,002094,2017,2018-04-27
44,300735,2017,2018-04-16
45,603043,2017,2018-04-17
46,603303,2017,2018-03-10
47,300618,2017,2018-02-13
48,603278,2017,2018-03-29
49,601108,2017,2018-04-28
50,300577,2017,2018-04-13
51,603305,2017,2018-03-09
52,300682,2017,2018-03-30
53,300087,2017,2018-04-04
54,002435,2017,2018-04-25
55,300679,2017,2018-04-21
56,002882,2017,2018-03-24
57,603639,2017,2018-03-31
58,603365,2017,2018-04-11
