number,security_code,as_of_year,cutoff_notice
1,001979,2016,2017-03-28
2,601155,2016,2017-02-25
3,601985,2016,2017-04-27
4,601211,2016,2017-02-21
5,000166,2016,2017-03-30
6,601689,2016,2017-04-20
7,603899,2016,2017-03-21
8,600958,2016,2017-03-31
9,601021,2016,2017-03-31
10,300450,2016,2017-03-09
11,603568,2016,2017-04-15
12,603866,2016,2017-03-30
13,603686,2016,2017-03-21
14,300496,2016,2017-03-21
15,601198,2016,2017-04-24
16,300463,2016,2017-04-18
17,603898,2016,2017-03-30
18,601368,2016,2017-04-28
19,603508,2016,2017-04-18
20,300471,2016,2017-04-18
