number,security_code,as_of_year,cutoff_notice
1,600250,2018,2019-04-30
2,000011,2018,2019-03-30
3,600971,2018,2019-03-28
4,600639,2018,2019-03-04
5,002154,2018,2019-04-27
6,600622,2018,2019-04-10
7,002020,2018,2019-04-27
8,300349,2018,2019-04-10
9,600763,2018,2019-03-29
10,603338,2018,2019-04-13
11,600777,2018,2019-04-26
12,300176,2018,2019-03-28
