number,security_code,as_of_year,cutoff_notice
1,688055,2020,2021-04-28
2,605168,2020,2021-04-15
3,300827,2020,2021-04-21
4,688399,2020,2021-03-26
5,002145,2020,2021-04-27
6,688068,2020,2021-04-24
7,300604,2020,2021-04-27
8,601956,2020,2021-03-16
9,603408,2020,2021-04-24
10,002734,2020,2021-04-20
11,688658,2020,2021-04-16
12,600529,2020,2021-04-27
13,002987,2020,2021-04-15
14,688208,2020,2021-03-09
15,300850,2020,2021-03-31
16,605136,2020,2021-03-18
17,300832,2020,2021-03-31
18,300861,2020,2021-04-23
19,605088,2020,2021-04-26
20,603893,2020,2021-04-27
21,601778,2020,2021-04-28
22,688196,2020,2021-03-31
23,300925,2020,2021-04-29
24,300569,2020,2021-04-27
25,688519,2020,2021-04-27
26,603112,2020,2021-04-26
27,603212,2020,2021-03-02
28,002995,2020,2021-04-28
29,603087,2020,2021-04-15
30,300863,2020,2021-04-27
31,603353,2020,2021-04-20
32,605377,2020,2021-04-16
33,002973,2020,2021-03-31
34,603887,2020,2021-03-31
35,002982,2020,2021-03-16
36,300870,2020,2021-04-15
37,300887,2020,2021-03-19
38,605009,2020,2021-03-26
39,688278,2020,2021-03-31
40,605008,2020,2021-04-10
41,605123,2020,2021-04-28
42,600821,2020,2021-04-30
43,003006,2020,2021-04-27
44,003010,2020,2021-03-31
45,688186,2020,2021-03-20
46,605099,2020,2021-04-08
47,600114,2020,2021-04-30
48,300787,2020,2021-04-02
49,688568,2020,2021-04-09
50,688608,2020,2021-04-27
51,603192,2020,2021-04-21
52,300896,2020,2021-02-09
53,605500,2020,2021-04-27
54,300917,2020,2021-04-24
55,603948,2020,2021-04-28
56,003013,2020,2021-03-30
57,003020,2020,2021-04-09
58,002989,2020,2021-04-28
59,000779,2020,2021-04-16
60,605066,2020,2021-04-23
