number,security_code,as_of_year,cutoff_notice
1,688059,2022,2023-03-31
2,688690,2022,2023-04-26
3,301071,2022,2023-03-11
4,688321,2022,2023-04-22
5,605033,2022,2023-04-20
6,301331,2022,2023-04-22
7,688337,2022,2023-03-29
8,688601,2022,2023-04-13
9,603682,2022,2023-02-28
10,688209,2022,2023-04-25
11,002826,2022,2023-04-27
12,688353,2022,2023-03-24
13,300777,2022,2023-04-26
14,301089,2022,2023-04-26
15,301302,2022,2023-04-26
16,603088,2022,2023-04-26
17,300938,2022,2023-04-04
18,603040,2022,2023-04-28
19,688170,2022,2023-04-27
20,301365,2022,2023-04-25
21,688046,2022,2023-04-20
22,301263,2022,2023-04-27
23,300947,2022,2023-04-25
24,301366,2022,2023-04-24
25,603496,2022,2023-04-27
26,688392,2022,2023-04-26
27,000663,2022,2023-03-16
28,300840,2022,2023-04-27
29,603105,2022,2023-03-16
30,300900,2022,2023-04-25
31,688047,2022,2023-04-26
32,688370,2022,2023-04-28
33,688372,2022,2023-04-21
34,301318,2022,2023-04-26
35,301086,2022,2023-03-31
36,688391,2022,2023-04-29
37,688636,2022,2023-04-25
38,688319,2022,2023-04-26
39,688228,2022,2023-04-22
40,300897,2022,2023-04-18
41,688768,2022,2023-04-11
42,688125,2022,2023-04-26
43,688380,2022,2023-04-26
44,300314,2022,2023-03-31
45,688733,2022,2023-03-30
46,301102,2022,2023-04-24
47,688061,2022,2023-04-28
48,603032,2022,2023-04-11
49,688589,2022,2023-03-23
50,301258,2022,2023-04-18
51,688167,2022,2023-04-26
52,001223,2022,2023-04-20
53,688175,2022,2023-04-29
54,688426,2022,2023-04-26
55,300518,2022,2023-04-27
56,688393,2022,2023-04-21
57,003025,2022,2023-04-22
58,688210,2022,2023-04-20
59,301312,2022,2023-04-10
60,688381,2022,2023-04-22
