number,security_code,as_of_year,cutoff_notice
1,603296,2023,2024-04-25
2,601061,2023,2024-03-27
3,300114,2023,2024-03-15
4,001287,2023,2024-04-26
5,688472,2023,2024-04-27
6,301358,2023,2024-04-20
7,001286,2023,2024-04-26
8,688347,2023,2024-03-29
9,301500,2023,2024-04-29
10,600925,2023,2024-04-10
11,603979,2023,2024-04-26
12,301511,2023,2024-04-19
13,002301,2023,2024-04-23
14,001213,2023,2024-04-26
15,301381,2023,2024-04-27
16,601096,2023,2024-04-11
17,301376,2023,2024-04-19
18,301370,2023,2024-04-25
19,301526,2023,2024-04-26
20,601083,2023,2024-03-30
21,301291,2023,2024-04-25
22,301498,2023,2024-04-16
23,688612,2023,2024-04-26
24,000913,2023,2024-04-18
25,002045,2023,2024-04-16
26,301408,2023,2024-04-29
27,688596,2023,2024-04-30
28,601133,2023,2024-04-23
29,002611,2023,2024-03-28
30,603153,2023,2024-04-26
31,301559,2023,2024-03-20
32,603050,2023,2024-04-18
33,600251,2023,2024-03-28
34,001311,2023,2024-04-19
35,301439,2023,2024-04-26
36,301345,2023,2024-04-22
37,301310,2023,2024-04-29
38,300019,2023,2024-03-29
39,002757,2023,2024-04-27
40,002184,2023,2024-04-27
41,301332,2023,2024-04-29
42,605167,2023,2024-04-26
43,300034,2023,2024-04-23
44,301292,2023,2024-04-20
45,603191,2023,2024-04-26
46,688484,2023,2024-03-20
47,002552,2023,2024-04-11
48,300532,2023,2024-03-26
49,301518,2023,2024-04-16
50,603173,2023,2024-04-20
51,688100,2023,2024-02-29
52,688563,2023,2024-03-29
53,300893,2023,2024-04-16
54,603281,2023,2024-03-28
55,603137,2023,2024-04-16
56,688570,2023,2024-03-21
57,603062,2023,2024-04-23
58,603075,2023,2024-04-16
59,301191,2023,2024-04-26
60,001278,2023,2024-04-26
61,688361,2023,2024-04-25
62,301371,2023,2024-04-26
63,001380,2023,2024-04-09
64,603107,2023,2024-04-23
65,301303,2023,2024-04-23
