number,security_code,as_of_year,cutoff_notice
1,601186,2008,2009-04-30
2,600704,2008,2009-04-30
3,601899,2008,2009-04-30
4,601898,2008,2009-04-30
5,601727,2008,2009-04-30
6,002237,2008,2009-04-30
7,002241,2008,2009-04-30
8,002203,2008,2009-04-30
9,002244,2008,2009-04-30
10,600325,2008,2009-04-30
11,002146,2008,2009-04-30
12,002210,2008,2009-04-30
13,600655,2008,2009-04-30
14,600713,2008,2009-04-30
15,002157,2008,2009-04-30
16,600056,2008,2009-04-30
17,000830,2008,2009-04-30
18,002080,2008,2009-04-30
19,600859,2008,2009-04-30
20,600266,2008,2009-04-30
21,000540,2008,2009-04-30
22,002179,2008,2009-04-30
23,600122,2008,2009-04-30
24,002131,2008,2009-04-30
25,002251,2008,2009-04-30
26,600208,2008,2009-04-30
27,002100,2008,2009-04-30
28,600697,2008,2009-04-30
29,601958,2008,2009-04-30
30,002065,2008,2009-04-30
31,002004,2008,2009-04-30
32,002249,2008,2009-04-30
33,002152,2008,2009-04-30
34,600395,2008,2009-04-30
35,600718,2008,2009-04-30
36,002242,2008,2009-04-30
37,000826,2008,2009-04-30
38,600090,2008,2009-04-30
39,002124,2008,2009-04-30
40,600169,2008,2009-04-30
41,002140,2008,2009-04-30
42,002269,2008,2009-04-30
43,002274,2008,2009-04-30
