number,security_code,as_of_year,cutoff_notice
1,605058,2021,2022-03-23
2,688300,2021,2022-03-31
3,301166,2021,2022-04-25
4,300939,2021,2022-04-15
5,301002,2021,2022-03-26
6,688766,2021,2022-04-15
7,301118,2021,2022-04-20
8,300822,2021,2022-04-08
9,688095,2021,2022-04-28
10,300564,2021,2022-04-23
11,688665,2021,2022-04-20
12,688700,2021,2022-04-16
13,688625,2021,2022-04-27
14,301047,2021,2022-02-28
15,300983,2021,2022-04-26
16,301088,2021,2022-04-23
17,688049,2021,2022-04-25
18,688083,2021,2022-04-12
19,688357,2021,2022-03-10
20,688177,2021,2022-04-29
21,605118,2021,2022-04-26
22,301101,2021,2022-04-25
23,603229,2021,2022-04-20
24,301093,2021,2022-04-25
25,605098,2021,2022-03-17
26,688633,2021,2022-04-28
27,003032,2021,2022-04-20
28,688600,2021,2022-03-10
29,300977,2021,2022-04-27
30,300993,2021,2022-04-22
31,688626,2021,2022-04-28
32,688508,2021,2022-03-18
33,688157,2021,2022-02-28
34,603383,2021,2022-04-12
35,300642,2021,2022-04-23
36,301066,2021,2022-04-26
37,688246,2021,2022-04-25
38,300488,2021,2022-04-26
39,300996,2021,2022-03-31
40,300837,2021,2022-04-25
41,300942,2021,2022-04-27
42,300480,2021,2022-03-31
43,300620,2021,2022-03-31
44,688595,2021,2022-04-28
45,688201,2021,2022-04-12
46,688085,2021,2022-04-26
47,301129,2021,2022-04-18
48,688579,2021,2022-04-13
49,300460,2021,2022-04-25
50,300830,2021,2022-04-15
51,603656,2021,2022-04-09
52,603232,2021,2022-04-26
53,300696,2021,2022-04-20
54,300949,2021,2022-04-27
55,300844,2021,2022-04-27
56,688776,2021,2022-03-15
57,301138,2021,2022-04-19
58,000576,2021,2022-04-09
59,688233,2021,2022-04-19
60,002843,2021,2022-03-01
61,300989,2021,2022-04-20
62,301075,2021,2022-03-25
63,300371,2021,2022-04-22
64,000409,2021,2022-03-25
65,688296,2021,2022-04-14
66,688103,2021,2022-04-20
67,301016,2021,2022-03-31
