number,security_code,as_of_year,cutoff_notice
1,601138,2018,2019-03-30
2,601319,2018,2019-03-23
3,300750,2018,2019-04-25
4,603799,2018,2019-03-30
5,002129,2018,2019-03-30
6,603259,2018,2019-03-23
7,603056,2018,2019-04-04
8,002938,2018,2019-04-01
9,000736,2018,2019-04-12
10,300760,2018,2019-04-23
11,601068,2018,2019-03-29
12,601066,2018,2019-03-19
13,000090,2018,2019-04-02
14,603876,2018,2019-04-27
15,601577,2018,2019-03-25
16,601838,2018,2019-04-25
17,603185,2018,2019-04-26
18,603486,2018,2019-04-27
19,300724,2018,2019-03-30
20,601828,2018,2019-03-28
21,300677,2018,2019-04-29
22,603659,2018,2019-03-12
23,002936,2018,2019-03-29
24,600673,2018,2019-03-29
25,600490,2018,2019-04-25
26,600986,2018,2019-04-18
27,600133,2018,2019-04-09
28,000967,2018,2019-04-19
29,601869,2018,2019-03-23
30,000785,2018,2019-04-27
31,000958,2018,2019-03-30
32,603713,2018,2019-03-22
33,300184,2018,2019-03-28
34,603897,2018,2019-04-26
35,000560,2018,2019-04-09
36,000048,2018,2019-04-15
37,603733,2018,2019-04-10
38,300131,2018,2019-04-24
39,603596,2018,2019-04-13
40,002941,2018,2019-04-24
41,002139,2018,2019-04-10
42,603527,2018,2019-03-25
43,600131,2018,2019-03-30
44,603301,2018,2019-04-10
45,002929,2018,2019-04-29
46,603013,2018,2019-03-29
47,603197,2018,2019-04-12
48,603871,2018,2019-04-16
49,300638,2018,2019-03-08
50,603156,2018,2019-03-26
51,002382,2018,2019-04-13
52,300454,2018,2019-04-13
53,600399,2018,2019-03-29
54,300737,2018,2019-04-26
55,300748,2018,2019-02-01
56,002793,2018,2019-02-26
57,603688,2018,2019-03-20
58,600326,2018,2019-03-28
59,002925,2018,2019-03-30
60,002803,2018,2019-04-29
