number,security_code,as_of_year,cutoff_notice
1,002755,2017,2018-04-25
2,603367,2017,2018-03-28
3,603283,2017,2018-04-20
4,600603,2017,2018-04-21
5,603603,2017,2018-04-28
6,603358,2017,2018-04-28
7,603063,2017,2018-04-26
8,603619,2017,2018-04-27
9,002852,2017,2018-04-25
10,300602,2017,2018-04-25
11,300219,2017,2018-04-21
12,603707,2017,2018-01-27
13,603890,2017,2018-04-20
14,603711,2017,2018-04-27
15,603855,2017,2018-04-27
16,603393,2017,2018-04-13
17,300661,2017,2018-04-23
18,603208,2017,2018-03-20
19,300627,2017,2018-04-10
20,300237,2017,2018-03-26
21,300601,2017,2018-04-25
22,603180,2017,2018-03-28
23,603668,2017,2018-01-09
24,000565,2017,2018-03-21
25,603839,2017,2018-03-29
26,603357,2017,2018-03-31
27,603378,2017,2018-04-20
28,300230,2017,2018-04-25
29,300176,2017,2018-04-27
30,603638,2017,2018-04-20
31,300697,2017,2018-04-17
32,603086,2017,2018-04-12
33,300705,2017,2018-03-29
34,300660,2017,2018-04-24
35,600843,2017,2018-04-17
36,603458,2017,2018-04-19
37,300575,2017,2018-03-30
38,603081,2017,2018-03-30
39,603466,2017,2018-04-10
40,603103,2017,2018-03-09
41,603980,2017,2018-04-27
42,002869,2017,2018-04-25
43,300699,2017,2018-04-03
44,603533,2017,2018-04-21
45,603277,2017,2018-04-25
46,603938,2017,2018-03-30
47,603579,2017,2018-03-16
48,002901,2017,2018-04-24
49,603165,2017,2018-04-20
50,000965,2017,2018-03-22
51,300625,2017,2018-04-18
52,601619,2017,2018-03-23
53,300723,2017,2018-04-24
54,603181,2017,2018-04-20
55,603039,2017,2018-03-26
56,603803,2017,2018-04-24
57,300633,2017,2018-03-31
58,300657,2017,2018-04-23
