number,security_code,as_of_year,cutoff_notice
1,002326,2018,2019-04-29
2,002798,2018,2019-03-30
3,600901,2018,2019-04-25
4,002837,2018,2019-04-10
5,000525,2018,2019-04-09
6,000070,2018,2019-04-16
7,300639,2018,2019-03-29
8,002928,2018,2019-03-09
9,002838,2018,2019-04-24
10,603787,2018,2019-04-27
11,000636,2018,2019-03-26
12,601330,2018,2019-03-28
13,300740,2018,2019-04-26
14,300607,2018,2019-04-17
15,600764,2018,2019-03-29
16,300285,2018,2019-02-28
17,300388,2018,2019-04-26
18,002605,2018,2019-04-30
19,603323,2018,2019-01-17
20,300423,2018,2019-03-12
21,603712,2018,2019-04-12
22,603505,2018,2019-04-18
23,603680,2018,2019-04-29
24,300132,2018,2019-02-27
25,300473,2018,2019-04-25
26,600668,2018,2019-04-30
27,600488,2018,2019-03-28
28,603214,2018,2019-04-05
29,300747,2018,2019-04-18
30,300571,2018,2019-04-26
31,300233,2018,2019-03-29
32,300623,2018,2019-02-27
33,300693,2018,2019-04-25
34,603650,2018,2019-03-28
35,002034,2018,2019-04-19
36,002878,2018,2019-04-19
37,600155,2018,2019-04-12
38,603187,2018,2019-04-15
39,603083,2018,2019-04-23
40,603583,2018,2019-04-23
41,600242,2018,2019-04-15
42,603587,2018,2019-04-13
43,300487,2018,2019-02-26
44,300504,2018,2019-04-12
45,300702,2018,2019-04-24
46,000029,2018,2019-03-29
47,600929,2018,2019-04-30
48,300416,2018,2019-03-29
49,300168,2018,2019-04-26
50,300741,2018,2019-03-13
51,300525,2018,2019-03-19
52,603693,2018,2019-04-10
53,002884,2018,2019-03-19
54,002937,2018,2019-03-21
55,002168,2018,2019-04-23
56,603506,2018,2019-04-27
57,603220,2018,2019-03-28
58,603387,2018,2019-04-10
59,300470,2018,2019-04-24
60,603360,2018,2019-04-27
