number,security_code,as_of_year,cutoff_notice
1,002191,2021,2022-04-16
2,300142,2021,2022-03-19
3,002245,2021,2022-03-22
4,603456,2021,2022-04-20
5,601016,2021,2022-03-11
6,002049,2021,2022-04-21
7,300363,2021,2022-03-26
8,300638,2021,2022-03-30
9,002382,2021,2022-04-13
10,300639,2021,2022-03-26
11,300782,2021,2022-04-28
12,688289,2021,2022-04-19
