number,security_code,as_of_year,cutoff_notice
1,601658,2019,2020-03-26
2,601598,2019,2020-04-01
3,003816,2019,2020-03-26
4,688036,2019,2020-04-28
5,601916,2019,2020-03-30
6,000927,2019,2020-04-09
7,603613,2019,2020-03-20
8,600968,2019,2020-04-10
9,600989,2019,2020-03-16
10,603995,2019,2020-04-20
11,688009,2019,2020-03-26
12,601615,2019,2020-04-22
13,600732,2019,2020-02-26
14,002532,2019,2020-04-30
15,601077,2019,2020-03-27
16,300772,2019,2020-03-20
17,603236,2019,2020-04-15
18,600370,2019,2020-03-10
19,300769,2019,2020-04-23
20,002423,2019,2020-04-25
21,601865,2019,2020-03-27
22,601298,2019,2020-03-27
23,300761,2019,2020-04-24
24,600206,2019,2020-04-17
25,603588,2019,2020-04-28
26,002948,2019,2020-03-21
27,601228,2019,2020-03-31
28,300759,2019,2020-03-30
29,002685,2019,2020-04-28
30,603967,2019,2020-04-09
31,002966,2019,2020-03-31
32,300438,2019,2020-04-24
33,002015,2019,2020-04-30
34,002946,2019,2020-04-28
35,002958,2019,2020-04-27
36,000676,2019,2020-04-28
37,002402,2019,2020-04-09
38,300783,2019,2020-04-29
39,300755,2019,2020-04-24
40,300751,2019,2020-03-28
41,002851,2019,2020-04-28
42,600461,2019,2020-04-25
43,002182,2019,2020-03-18
44,600618,2019,2020-04-20
45,000733,2019,2020-04-18
46,600928,2019,2020-04-22
47,000591,2019,2020-04-18
48,300763,2019,2020-03-31
49,603786,2019,2020-04-22
50,688099,2019,2020-04-28
51,603927,2019,2020-04-17
52,300773,2019,2020-04-10
53,603815,2019,2020-04-28
54,601975,2019,2020-03-20
55,688363,2019,2020-04-29
56,688002,2019,2020-04-08
57,603279,2019,2020-04-30
58,688111,2019,2020-03-25
59,603379,2019,2020-04-25
60,002955,2019,2020-04-21
