security_code,security_name,announcement_date,kind,report_period,paired,title,url,source,detected_at_utc
000001,深发展Ａ,2011-08-18,correction,,0,关于会计政策变更及追溯调整事项的公告,http://static.cninfo.com.cn/finalpage/2011-08-18/59833409.PDF,cninfo:追溯调整,2026-09-23T15:13:25+00:00
000408,金谷源,2013-04-27,correction,,0,关于公司2012年会计差错更正的专项说明,http://static.cninfo.com.cn/finalpage/2013-04-27/62439139.PDF,cninfo:会计差错更正,2026-09-23T15:08:31+00:00
000408,金谷源,2013-04-27,correction,,0,关于会计差错更正公告,http://static.cninfo.com.cn/finalpage/2013-04-27/62439138.PDF,cninfo:会计差错更正,2026-09-23T15:08:31+00:00
000408,金谷源,2013-04-27,correction,,0,关于会计差错更正的意见,http://static.cninfo.com.cn/finalpage/2013-04-27/62439137.PDF,cninfo:会计差错更正,2026-09-23T15:08:31+00:00
000408,金谷源,2013-04-27,correction,,0,关于会计差错更正的独立意见,http://static.cninfo.com.cn/finalpage/2013-04-27/62439136.PDF,cninfo:会计差错更正,2026-09-23T15:08:31+00:00
000408,金谷源,2014-12-22,correction,,0,监事会关于会计差错更正的意见,http://static.cninfo.com.cn/finalpage/2014-12-22/1200480320.PDF,cninfo:会计差错更正,2026-09-23T15:08:39+00:00
000408,金谷源,2014-12-22,correction,,0,独立董事关于会计差错更正的独立意见,http://static.cninfo.com.cn/finalpage/2014-12-22/1200480315.PDF,cninfo:会计差错更正,2026-09-23T15:08:39+00:00
000408,金谷源,2014-12-22,correction,,0,关于会计差错更正的公告,http://static.cninfo.com.cn/finalpage/2014-12-22/1200480312.PDF,cninfo:会计差错更正,2026-09-23T15:08:39+00:00
000408,金谷源,2015-02-06,correction,,1,监事会关于会计差错更正的意见,http://static.cninfo.com.cn/finalpage/2015-02-06/1200614382.PDF,cninfo:会计差错更正,2026-09-23T15:08:46+00:00
000408,金谷源,2015-02-06,correction,,1,独立董事关于会计差错更正的独立意见,http://static.cninfo.com.cn/finalpage/2015-02-06/1200614380.PDF,cninfo:会计差错更正,2026-09-23T15:08:46+00:00
000408,金谷源,2015-02-06,correction,,1,关于会计差错更正的公告,http://static.cninfo.com.cn/finalpage/2015-02-06/1200614378.PDF,cninfo:会计差错更正,2026-09-23T15:08:46+00:00
000408,金谷源,2015-02-06,updated_report,2013-12-31,1,2013年年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2015-02-06/1200614376.PDF,cninfo:pairing,2026-09-23T15:15:02+00:00
000408,金谷源,2015-02-06,updated_report,2014-06-30,1,2014年半年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2015-02-06/1200614377.PDF,cninfo:pairing,2026-09-23T15:15:02+00:00
000408,藏格控股,2019-10-24,correction,,1,关于前期会计差错更正及追溯调整的公告,http://static.cninfo.com.cn/finalpage/2019-10-24/1207009300.PDF,cninfo:追溯调整,2026-09-23T15:13:57+00:00
000408,藏格控股,2019-10-24,updated_report,2018-12-31,1,2018年年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2019-10-24/1207009294.PDF,cninfo:pairing,2026-09-23T15:15:02+00:00
