number,security_code,as_of_year,cutoff_notice
1,600104,2002,2003-04-30
2,600153,2002,2003-04-30
3,600606,2002,2003-04-30
4,600057,2002,2003-04-30
5,000002,2002,2003-04-30
6,600050,2002,2003-04-30
7,600019,2002,2003-04-30
8,600036,2002,2003-04-30
9,600690,2002,2003-04-30
10,601607,2002,2003-04-30
11,600011,2002,2003-04-30
12,600188,2002,2003-04-30
13,000651,2002,2003-04-30
14,600058,2002,2003-04-30
15,600000,2002,2003-04-30
16,600795,2002,2003-04-30
17,600016,2002,2003-04-30
18,000001,2002,2003-04-30
19,000039,2002,2003-04-30
20,600519,2002,2003-04-30
