market_type,security_code,symbol,exchange,security_name,listed_company_name,industry,current_attention_class,current_quality_tier,current_quality_tier_label,current_strategy_tag,latest_report_date,latest_report_type,last_quality_review_date,queue_priority,queue_reasons,required_authoritative_sources,as_of,generated_at_utc
A_SHARE,000063,000063.SZ,SZSE,中兴通讯,中兴通讯,C 制造业,worth_attention,L2,,D-产业链爆发/关键瓶颈型,2026-06-30,中报,2026-08-30,high,l1_l2_routine_quarterly_review,latest_annual_report;latest_interim_or_quarterly_report;official_announcement_or_ir;reputable_research_report_when_available,2026-08-31,2026-08-30T17:32:17+00:00
A_SHARE,000333,000333.SZ,SZSE,美的集团,美的集团,C 制造业,worth_attention,L2,,A-DCF/现金流复利型,2026-06-30,中报,2026-08-30,high,l1_l2_routine_quarterly_review,latest_annual_report;latest_interim_or_quarterly_report;official_announcement_or_ir;reputable_research_report_when_available,2026-08-31,2026-08-30T17:32:17+00:00
A_SHARE,000338,000338.SZ,SZSE,潍柴动力,潍柴动力,C 制造业,worth_attention,L2,,C-GARP成长型,2026-06-30,中报,2026-08-30,high,l1_l2_routine_quarterly_review,latest_annual_report;latest_interim_or_quarterly_report;official_announcement_or_ir;reputable_research_report_when_available,2026-08-31,2026-08-30T17:32:17+00:00
A_SHARE,000408,000408.SZ,SZSE,藏格矿业,藏格矿业,C 制造业,worth_attention,L2,,F-垄断资源型,2026-06-30,中报,2026-08-30,high,l1_l2_routine_quarterly_review;profit_yoy_abs_ge_50pct;high_gross_margin;high_net_margin,latest_annual_report;latest_interim_or_quarterly_report;official_announcement_or_ir;reputable_research_report_when_available,2026-08-31,2026-08-30T17:32:17+00:00
A_SHARE,000423,000423.SZ,SZSE,东阿阿胶,东阿阿胶,C 制造业,worth_attention,L2,,A-DCF/现金流复利型,2026-06-30,中报,2026-08-30,high,l1_l2_routine_quarterly_review;high_gross_margin;high_net_margin,latest_annual_report;latest_interim_or_quarterly_report;official_announcement_or_ir;reputable_research_report_when_available,2026-08-31,2026-08-30T17:32:17+00:00
A_SHARE,000425,000425.SZ,SZSE,徐工机械,徐工机械,C 制造业,worth_attention,L2,,C-GARP成长型,2026-06-30,中报,2026-08-30,high,l1_l2_routine_quarterly_review,latest_annual_report;latest_interim_or_quarterly_report;official_announcement_or_ir;reputable_research_report_when_available,2026-08-31,2026-08-30T17:32:17+00:00
A_SHARE,000426,000426.SZ,SZSE,兴业银锡,兴业银锡,B 采矿业,worth_attention,L2,,F 资源NAV型,2026-06-30,中报,2026-08-30,high,l1_l2_routine_quarterly_review;revenue_yoy_abs_ge_30pct;profit_yoy_abs_ge_50pct;high_gross_margin;high_net_margin,latest_annual_report;latest_interim_or_quarterly_report;official_announcement_or_ir;reputable_research_report_when_available,2026-08-31,2026-08-30T17:32:17+00:00
A_SHARE,000538,000538.SZ,SZSE,云南白药,云南白药,C 制造业,worth_attention,L1,,A-DCF/现金流复利型,2026-06-30,中报,2026-08-30,high,l1_l2_routine_quarterly_review,latest_annual_report;latest_interim_or_quarterly_report;official_announcement_or_ir;reputable_research_report_when_available,2026-08-31,2026-08-30T17:32:17+00:00
A_SHARE,000568,000568.SZ,SZSE,泸州老窖,泸州老窖,C 制造业,worth_attention,L2,,A-DCF/现金流复利型,2026-06-30,中报,2026-08-30,high,l1_l2_routine_quarterly_review;revenue_yoy_abs_ge_30pct;high_gross_margin;high_net_margin,latest_annual_report;latest_interim_or_quarterly_report;official_announcement_or_ir;reputable_research_report_when_available,2026-08-31,2026-08-30T17:32:17+00:00
A_SHARE,000596,000596.SZ,SZSE,古井贡酒,古井贡酒,C 制造业,worth_attention,L2,,A 现金流复利型,2026-06-30,中报,2026-08-30,high,l1_l2_routine_quarterly_review;high_gross_margin;high_net_margin,latest_annual_report;latest_interim_or_quarterly_report;official_announcement_or_ir;reputable_research_report_when_available,2026-08-31,2026-08-30T17:32:17+00:00
A_SHARE,000651,000651.SZ,SZSE,格力电器,格力电器,C 制造业,worth_attention,L2,,A-DCF/现金流复利型,2026-06-30,中报,2026-08-30,high,l1_l2_routine_quarterly_review,latest_annual_report;latest_interim_or_quarterly_report;official_announcement_or_ir;reputable_research_report_when_available,2026-08-31,2026-08-30T17:32:17+00:00
A_SHARE,000786,000786.SZ,SZSE,北新建材,北新建材,C 制造业,worth_attention,L2,,A-DCF/现金流复利型,2026-06-30,中报,2026-08-30,high,l1_l2_routine_quarterly_review,latest_annual_report;latest_interim_or_quarterly_report;official_announcement_or_ir;reputable_research_report_when_available,2026-08-31,2026-08-30T17:32:17+00:00
A_SHARE,000792,000792.SZ,SZSE,盐湖股份,盐湖股份,C 制造业,worth_attention,L2,,F-垄断资源型,2026-06-30,中报,2026-08-30,high,l1_l2_routine_quarterly_review;revenue_yoy_abs_ge_30pct;profit_yoy_abs_ge_50pct;high_gross_margin;high_net_margin,latest_annual_report;latest_interim_or_quarterly_report;official_announcement_or_ir;reputable_research_report_when_available,2026-08-31,2026-08-30T17:32:17+00:00
A_SHARE,000858,000858.SZ,SZSE,五 粮 液,五 粮 液,C 制造业,worth_attention,L2,,A-DCF/现金流复利型,2026-06-30,中报,2026-08-30,high,l1_l2_routine_quarterly_review;profit_yoy_abs_ge_50pct;high_gross_margin;high_net_margin;negative_cashflow_to_revenue,latest_annual_report;latest_interim_or_quarterly_report;official_announcement_or_ir;reputable_research_report_when_available,2026-08-31,2026-08-30T17:32:17+00:00
A_SHARE,000893,000893.SZ,SZSE,亚钾国际,亚钾国际,C 制造业,worth_attention,L2,,F-垄断资源型,2026-06-30,中报,2026-08-30,high,l1_l2_routine_quarterly_review;revenue_yoy_abs_ge_30pct;profit_yoy_abs_ge_50pct;high_gross_margin;high_net_margin,latest_annual_report;latest_interim_or_quarterly_report;official_announcement_or_ir;reputable_research_report_when_available,2026-08-31,2026-08-30T17:32:17+00:00
A_SHARE,000895,000895.SZ,SZSE,双汇发展,双汇发展,C 制造业,worth_attention,L2,,K-稳态现金分配型,2026-06-30,中报,2026-08-30,high,l1_l2_routine_quarterly_review,latest_annual_report;latest_interim_or_quarterly_report;official_announcement_or_ir;reputable_research_report_when_available,2026-08-31,2026-08-30T17:32:17+00:00
A_SHARE,000933,000933.SZ,SZSE,神火股份,神火股份,C 制造业,worth_attention,L2,,F-垄断资源型,2026-06-30,中报,2026-08-01,high,l1_l2_routine_quarterly_review;profit_yoy_abs_ge_50pct,latest_annual_report;latest_interim_or_quarterly_report;official_announcement_or_ir;reputable_research_report_when_available,2026-08-31,2026-08-30T17:32:17+00:00
