number,security_code,as_of_year,cutoff_notice
1,601218,2011,2012-04-21
2,002345,2011,2012-04-18
3,002620,2011,2012-04-25
4,000882,2011,2012-04-24
5,300020,2011,2012-03-29
6,002548,2011,2012-03-26
7,601518,2011,2012-02-23
8,002369,2011,2012-04-24
9,002564,2011,2012-04-21
10,002646,2011,2012-04-25
11,600882,2011,2012-03-17
12,601199,2011,2012-03-29
13,002593,2011,2012-04-20
14,002584,2011,2012-04-10
15,601208,2011,2012-03-28
16,002604,2011,2012-04-30
17,601616,2011,2012-04-05
18,002544,2011,2012-04-18
19,002616,2011,2012-03-27
20,300224,2011,2012-03-27
21,300195,2011,2012-03-12
22,300186,2011,2012-04-30
23,002566,2011,2012-03-06
24,002516,2011,2012-04-18
25,002510,2011,2012-03-30
26,002590,2011,2012-04-24
27,002177,2011,2012-02-17
28,601519,2011,2012-04-30
29,000514,2011,2012-03-29
30,002033,2011,2012-03-22
31,600283,2011,2012-03-30
32,601798,2011,2012-04-28
33,000716,2011,2012-04-26
34,600532,2011,2012-03-29
35,600107,2011,2012-04-26
36,002623,2011,2012-04-25
