number,security_code,as_of_year,cutoff_notice
1,603993,2014,2015-03-24
2,601225,2014,2015-04-25
3,600297,2014,2015-04-18
4,000977,2014,2015-03-20
5,601012,2014,2015-02-17
6,300226,2014,2015-02-28
7,000938,2014,2015-04-10
8,600985,2014,2015-03-27
9,002221,2014,2015-04-03
10,002074,2014,2015-03-12
11,600466,2014,2015-04-30
12,000553,2014,2015-03-12
13,603609,2014,2015-04-09
14,600291,2014,2015-04-24
15,002736,2014,2015-04-29
16,603288,2014,2015-03-10
17,002180,2014,2015-04-01
18,000928,2014,2015-04-02
19,002726,2014,2015-03-20
20,601015,2014,2015-03-30
21,603806,2014,2015-04-10
22,002640,2014,2015-03-31
23,603368,2014,2015-03-16
24,600682,2014,2015-03-27
25,000902,2014,2015-04-02
26,002727,2014,2015-02-13
27,600061,2014,2015-04-18
28,002555,2014,2015-03-31
29,600617,2014,2015-03-10
30,002705,2014,2015-04-27
31,002721,2014,2015-04-08
32,603019,2014,2015-04-10
33,600811,2014,2015-04-30
34,600483,2014,2015-03-26
35,002707,2014,2015-04-11
36,600988,2014,2015-03-31
37,002716,2014,2015-03-31
38,000739,2014,2015-04-24
39,603369,2014,2015-04-03
40,600273,2014,2015-03-20
41,600848,2014,2015-03-17
42,600780,2014,2015-04-28
43,001896,2014,2015-03-21
44,002044,2014,2015-02-27
45,603606,2014,2015-04-10
46,600687,2014,2015-02-10
47,600665,2014,2015-03-28
48,601226,2014,2015-04-09
49,600917,2014,2015-04-10
50,000957,2014,2015-03-31
51,300296,2014,2015-03-26
52,300408,2014,2015-04-20
53,002717,2014,2015-03-10
54,600629,2014,2015-03-16
55,603699,2014,2015-04-22
