number,security_code,as_of_year,cutoff_notice
1,000998,2017,2018-04-28
2,600763,2017,2018-04-03
3,300294,2017,2018-04-26
4,000403,2017,2018-04-26
5,601188,2017,2018-04-27
6,601611,2017,2018-04-26
7,603816,2017,2018-04-26
8,002831,2017,2018-04-20
9,603313,2017,2018-03-31
10,002815,2017,2018-03-30
11,603556,2017,2018-03-30
12,603658,2017,2018-03-28
13,002832,2017,2018-04-23
14,603421,2017,2018-04-25
15,300558,2017,2018-04-10
16,600996,2017,2018-04-17
17,300567,2017,2018-03-29
18,002833,2017,2018-04-18
19,300529,2017,2018-04-03
20,603060,2017,2018-04-02
