number,security_code,as_of_year,cutoff_notice
1,601158,2010,2011-03-30
2,002443,2010,2011-04-20
3,002372,2010,2011-03-23
4,300082,2010,2011-02-28
5,000631,2010,2011-03-26
6,000885,2010,2011-03-15
7,002440,2010,2011-04-20
8,002478,2010,2011-04-12
9,002461,2010,2011-03-29
10,600784,2010,2011-04-01
11,600337,2010,2011-04-09
12,002437,2010,2011-02-22
13,600118,2010,2011-03-03
14,000828,2010,2011-03-31
15,600724,2010,2011-03-25
16,600633,2010,2011-04-30
17,600862,2010,2011-04-28
18,002367,2010,2011-02-25
19,002431,2010,2011-03-08
20,600182,2010,2011-02-19
21,600173,2010,2011-04-08
22,002334,2010,2011-02-22
23,002471,2010,2011-03-28
24,002332,2010,2011-03-26
25,000522,2010,2011-03-05
26,002404,2010,2011-03-28
27,600684,2010,2011-04-28
28,600185,2010,2011-03-31
29,002394,2010,2011-04-20
30,002454,2010,2011-04-18
31,000637,2010,2011-03-23
32,000562,2010,2011-04-30
33,002465,2010,2011-04-18
34,600537,2010,2011-04-07
35,000799,2010,2011-01-28
36,002320,2010,2011-04-27
37,002399,2010,2011-03-28
38,002424,2010,2011-04-26
39,002153,2010,2011-03-09
40,000529,2010,2011-03-26
41,002029,2010,2011-04-09
42,600628,2010,2011-04-19
43,002108,2010,2011-03-22
44,002489,2010,2011-03-19
45,000848,2010,2011-03-31
46,600017,2010,2011-03-30
47,002405,2010,2011-03-02
48,600351,2010,2011-02-23
49,002501,2010,2011-03-18
50,002344,2010,2011-04-27
51,000603,2010,2011-04-28
52,002255,2010,2011-03-09
53,002490,2010,2011-03-30
54,002397,2010,2011-04-26
55,002287,2010,2011-04-01
