number,security_code,as_of_year,cutoff_notice
1,600941,2022,2023-03-24
2,600938,2022,2023-03-30
3,688223,2022,2023-04-29
4,600861,2022,2023-03-18
5,001289,2022,2023-03-30
6,300475,2022,2023-04-17
7,301236,2022,2023-04-26
8,688349,2022,2023-04-29
9,300502,2022,2023-04-27
10,689009,2022,2023-03-31
11,301116,2022,2023-04-21
12,301216,2022,2023-03-31
13,600072,2022,2023-04-01
14,002865,2022,2023-03-17
15,300001,2022,2023-04-15
16,001308,2022,2023-03-27
17,688503,2022,2023-04-20
18,688041,2022,2023-04-18
19,301165,2022,2023-03-31
20,000632,2022,2023-04-29
21,688707,2022,2023-04-28
22,688271,2022,2023-04-28
23,600460,2022,2023-03-31
24,688275,2022,2023-04-25
25,300857,2022,2023-03-28
26,601555,2022,2023-04-29
27,688396,2022,2023-04-28
28,001309,2022,2023-04-29
29,002312,2022,2023-04-26
30,600063,2022,2023-03-11
31,300446,2022,2023-03-28
32,001298,2022,2023-04-18
33,301219,2022,2023-04-27
34,002895,2022,2023-03-31
35,001301,2022,2023-04-27
36,001322,2022,2023-04-12
37,603227,2022,2023-04-27
38,600876,2022,2023-03-30
39,002176,2022,2023-04-25
40,688072,2022,2023-04-18
41,688561,2022,2023-04-27
42,301238,2022,2023-04-26
43,601022,2022,2023-03-25
44,688475,2022,2023-04-15
45,301150,2022,2023-04-25
46,001323,2022,2023-04-25
47,001228,2022,2023-04-17
48,301200,2022,2023-04-10
49,603151,2022,2023-03-31
50,605296,2022,2023-04-26
51,002484,2022,2023-03-30
52,002518,2022,2023-04-11
53,300035,2022,2023-04-25
54,605020,2022,2023-04-04
55,001331,2022,2023-04-27
56,001283,2022,2023-03-29
57,688388,2022,2023-04-18
58,002839,2022,2023-03-28
59,688559,2022,2023-04-28
60,603206,2022,2023-04-27
