number,security_code,as_of_year,cutoff_notice
1,300061,2016,2017-04-25
2,300036,2016,2017-03-24
3,603900,2016,2017-03-22
4,300451,2016,2017-03-28
5,002380,2016,2017-04-27
6,002811,2016,2017-04-22
7,603998,2016,2017-04-19
8,603958,2016,2017-04-27
9,002823,2016,2017-03-30
10,000710,2016,2017-02-28
11,002818,2016,2017-03-30
12,300327,2016,2017-03-30
13,002349,2016,2017-02-09
14,300348,2016,2017-04-15
15,603888,2016,2017-04-18
16,300006,2016,2017-04-07
17,300231,2016,2017-04-07
18,300497,2016,2017-04-25
19,300443,2016,2017-03-29
20,300364,2016,2017-04-13
21,300246,2016,2017-04-21
22,002777,2016,2017-03-31
23,000802,2016,2017-03-17
24,300229,2016,2017-03-30
25,600333,2016,2017-04-27
26,300326,2016,2017-04-26
27,600604,2016,2017-03-29
28,603566,2016,2017-04-17
29,002792,2016,2017-04-25
30,603377,2016,2017-04-11
31,300259,2016,2017-03-30
32,300365,2016,2017-03-03
33,300426,2016,2017-04-25
34,002322,2016,2017-04-26
35,601595,2016,2017-04-25
36,603667,2016,2017-04-18
37,300096,2016,2017-04-17
38,000038,2016,2017-04-15
39,300353,2016,2017-03-31
40,002107,2016,2017-01-25
41,002787,2016,2017-04-12
42,603901,2016,2017-03-31
43,002783,2016,2017-04-12
44,600136,2016,2017-02-28
45,002699,2016,2017-03-02
46,300440,2016,2017-03-31
47,000820,2016,2017-04-27
48,300215,2016,2017-03-28
49,002619,2016,2017-04-18
50,603528,2016,2017-04-26
51,603779,2016,2017-04-28
52,600189,2016,2017-04-18
53,300403,2016,2017-03-17
54,300448,2016,2017-03-31
55,603239,2016,2017-03-31
56,300512,2016,2017-04-12
57,300484,2016,2017-04-14
58,002718,2016,2017-04-19
59,002188,2016,2017-04-27
60,002438,2016,2017-03-21
61,002175,2016,2017-04-25
62,603389,2016,2017-04-14
63,300469,2016,2017-03-31
