trade_date,security_code,security_name,exchange,quality_tier,quality_tier_label,quality_score,pool_layer,fair_price_low,fair_price_high,band_position,margin_of_safety,model_intrinsic_value,model_band_source,model_pv,hold_intrinsic_value,hold_band_source,hold_pv,strategy_tag,total_market_cap_bn,signal_state,review_frozen,note,gap_trading_days,gap_return,gap_max_vol_ratio,gap_max_vol_day,close,mark_close,mark_date,tradable,adjustment_basis,amount,ma20,ma60,amount_ma20,data_source,screened_at_utc
2026-09-18,600519,贵州茅台,SSE,L1,L1,90.15,core,536.40,655.60,越带顶+92%,,596.0038,模型带·2026-06-30,2.1092,,,,A-现金流复利型,1613.7050,ok,,,,,,,1257.12,1257.12,2026-09-18,True,2026-09-18,3135849108.0,1291.7955,1282.6865,3229735052.0,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.600519&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260918&lmt=1000,2026-09-19T17:50:16+00:00
2026-09-18,000333,美的集团,SZSE,L2,L2,78.1,core,52.83,64.57,越带顶+31%,,58.7034,模型带·2026-06-30,1.4377,,,,A-现金流复利型,656.2600,ok,,,,,,,84.4,84.4,2026-09-18,True,2026-09-18,2201833151.31,86.3435,84.0292,1799208059.322,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.000333&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260918&lmt=1000,2026-09-19T17:50:19+00:00
2026-09-18,603288,海天味业,SSE,L2,L2,78.0,core,11.86,14.50,越带顶+133%,,13.1807,模型带·2026-06-30,2.5681,,,,A-现金流复利型,201.0420,ok,,,,,,,33.85,33.85,2026-09-18,True,2026-09-18,328691618.0,34.3195,35.2493,524016862.9,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.603288&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260918&lmt=1000,2026-09-19T17:50:18+00:00
2026-09-18,603195,公牛集团,SSE,L2,L2,76.55,core,20.34,24.86,越带顶+53%,,22.5982,模型带·2026-06-30,1.6815,,,,A-现金流复利型,69.9560,ok,,,,,,,38.0,38.0,2026-09-18,True,2026-09-18,89733406.0,38.91,39.1907,124948740.8,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.603195&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260918&lmt=1000,2026-09-19T17:50:19+00:00
2026-09-18,601899,紫金矿业,SSE,L2,L2,74.4,core,24.85,30.37,越带顶+3%,,27.609,模型带·2026-06-30,1.1377,,,,F-资源NAV型,914.7210,ok,,,,,,,31.41,31.41,2026-09-18,True,2026-09-18,5565369845.0,33.2415,31.3617,7331618599.8,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.601899&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260918&lmt=1000,2026-09-19T17:50:15+00:00
2026-09-18,600900,长江电力,SSE,L1,L1,87.1,core,17.84,21.81,越带顶+30%,,19.8247,模型带·2026-06-30,1.426,,,,K-稳态现金分配型,686.3340,ok,,,,,,,28.27,28.27,2026-09-18,True,2026-09-18,2034531513.0,28.2725,27.9995,2540368668.0,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.600900&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260918&lmt=1000,2026-09-19T17:50:18+00:00
2026-09-18,601088,中国神华,SSE,L1,L1,77.7,core,25.83,31.57,越带顶+46%,,28.7031,模型带·2026-06-30,1.6106,,,,F-资源NAV型,1026.5610,ok,,,,,,,46.23,46.23,2026-09-18,True,2026-09-18,758405684.0,47.2895,44.7872,1195877130.75,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.601088&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260918&lmt=1000,2026-09-19T17:50:19+00:00
2026-09-18,600938,中国海油,SSE,L2,L2,76.5,core,34.56,42.24,低于带底-7%,0.1889,38.3987,模型带·2026-06-30,0.8412,,,,F-资源NAV型,1624.5740,ok,,,,,,,32.3,32.3,2026-09-18,True,2026-09-18,1110508211.0,33.6865,31.6638,1504434215.8,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.600938&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260918&lmt=1000,2026-09-19T17:50:18+00:00
2026-09-18,300308,中际旭创,SZSE,L2,L2,67.55,core,80.57,98.47,越带顶+841%,,89.5193,模型带·2026-06-30,10.3489,,,,D-产业链爆发/关键瓶颈型,1070.6020,ok,,,,,,,926.43,926.43,2026-09-18,True,2026-09-18,27079558744.68,872.263,977.454,23309681115.734,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.300308&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260918&lmt=1000,2026-09-19T17:50:19+00:00
2026-09-18,002371,北方华创,SZSE,L1,L1,80.1,core,110.05,134.51,越带顶+410%,,122.2807,模型带·2026-06-30,5.6142,,,,D-产业链爆发/关键瓶颈型,469.0850,ok,,,,,,,686.51,686.51,2026-09-18,True,2026-09-18,6630755824.9,667.9815,727.6565,4537374328.901,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002371&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260918&lmt=1000,2026-09-19T17:50:15+00:00
