number,security_code,as_of_year,cutoff_notice
1,600362,2004,2005-04-30
2,600755,2004,2005-04-30
3,002024,2004,2005-04-30
4,000100,2004,2005-04-30
5,600438,2004,2005-04-30
6,600383,2004,2005-04-30
7,600022,2004,2005-04-30
8,600031,2004,2005-04-30
9,600089,2004,2005-04-30
10,600096,2004,2005-04-30
11,600143,2004,2005-04-30
12,000983,2004,2005-04-30
13,600549,2004,2005-04-30
14,600973,2004,2005-04-30
15,000933,2004,2005-04-30
16,000528,2004,2005-04-30
17,600507,2004,2005-04-30
18,600581,2004,2005-04-30
19,000792,2004,2005-04-30
20,000402,2004,2005-04-30
21,600997,2004,2005-04-30
22,600079,2004,2005-04-30
23,600577,2004,2005-04-30
24,000905,2004,2005-04-30
25,600481,2004,2005-04-30
26,002032,2004,2005-04-30
27,002001,2004,2005-04-30
28,600961,2004,2005-04-30
29,600823,2004,2005-04-30
30,600491,2004,2005-04-30
31,600675,2004,2005-04-30
32,600739,2004,2005-04-30
33,600966,2004,2005-04-30
34,600328,2004,2005-04-30
35,002027,2004,2005-04-30
36,600408,2004,2005-04-30
37,600829,2004,2005-04-30
38,600894,2004,2005-04-30
39,600748,2004,2005-04-30
40,600588,2004,2005-04-30
41,600971,2004,2005-04-30
42,000852,2004,2005-04-30
43,000628,2004,2005-04-30
44,600572,2004,2005-04-30
45,000612,2004,2005-04-30
46,600817,2004,2005-04-30
47,600779,2004,2005-04-30
48,600991,2004,2005-03-25
49,600976,2004,2005-04-30
50,600594,2004,2005-04-30
51,000619,2004,2005-04-30
52,600824,2004,2005-04-30
53,000931,2004,2005-04-30
54,600054,2004,2005-04-30
55,600963,2004,2005-04-30
56,000839,2004,2005-04-30
57,002005,2004,2005-04-30
58,000916,2004,2005-04-30
