number,security_code,as_of_year,cutoff_notice
1,603326,2018,2019-04-17
2,300752,2018,2019-04-24
3,002940,2018,2019-03-30
4,300630,2018,2019-04-02
5,300109,2018,2019-04-26
6,603629,2018,2019-04-16
7,603636,2018,2019-04-13
8,600851,2018,2019-04-16
9,002853,2018,2019-04-04
10,300624,2018,2019-03-28
11,603926,2018,2019-04-25
12,300107,2018,2019-03-15
13,300401,2018,2019-03-26
14,603676,2018,2019-04-26
15,603161,2018,2019-03-29
16,002923,2018,2019-04-23
17,603520,2018,2019-03-26
18,300622,2018,2019-04-12
19,600773,2018,2019-03-30
20,603810,2018,2019-04-25
21,300739,2018,2019-04-18
22,603666,2018,2019-04-13
23,603388,2018,2019-04-25
24,300634,2018,2019-04-15
25,603985,2018,2019-04-12
26,603959,2018,2019-04-26
27,300691,2018,2019-04-19
28,002866,2018,2019-03-16
29,603386,2018,2019-04-09
30,603089,2018,2019-04-16
31,300384,2018,2019-04-25
32,603590,2018,2019-03-28
33,300357,2018,2019-03-28
34,603158,2018,2019-04-26
35,300149,2018,2019-04-12
36,600226,2018,2019-04-23
37,300572,2018,2019-04-08
38,002912,2018,2019-04-20
39,300456,2018,2019-04-19
40,300584,2018,2019-04-02
41,300318,2018,2019-04-23
42,603896,2018,2019-03-29
43,603297,2018,2019-04-26
44,603811,2018,2019-04-10
45,300664,2018,2019-04-25
46,300081,2018,2019-03-21
47,300546,2018,2019-04-22
48,300084,2018,2019-04-26
49,603773,2018,2019-04-26
50,002549,2018,2019-03-22
51,000532,2018,2019-03-30
52,603909,2018,2019-04-20
53,300756,2018,2019-04-12
54,603826,2018,2019-02-26
55,300299,2018,2019-04-20
56,603037,2018,2019-04-23
57,300637,2018,2019-03-20
58,603912,2018,2019-03-28
59,300707,2018,2019-04-25
60,300143,2018,2019-04-26
