number,security_code,as_of_year,cutoff_notice
1,600826,2016,2017-03-11
2,600990,2016,2017-03-25
3,603218,2016,2017-04-21
4,002643,2016,2017-02-28
5,603868,2016,2017-03-30
6,002822,2016,2017-04-21
7,600908,2016,2017-03-30
8,603031,2016,2017-04-25
9,603556,2016,2017-04-08
10,603658,2016,2017-03-03
11,603777,2016,2017-04-26
12,002832,2016,2017-04-26
13,000055,2016,2017-03-21
14,002807,2016,2017-03-15
15,603010,2016,2017-03-14
16,002675,2016,2017-03-16
17,300209,2016,2017-04-11
18,000750,2016,2017-03-28
19,601500,2016,2017-04-18
20,603101,2016,2017-04-08
21,603421,2016,2017-04-24
22,300558,2016,2017-04-06
23,600452,2016,2017-03-31
24,300098,2016,2017-04-19
25,300409,2016,2017-02-21
26,603878,2016,2017-04-14
27,600996,2016,2017-04-28
28,002673,2016,2017-04-26
29,603098,2016,2017-03-30
30,300567,2016,2017-03-28
31,603027,2016,2017-03-22
32,603585,2016,2017-04-21
33,600211,2016,2017-03-22
34,603012,2016,2017-04-22
35,600552,2016,2017-03-31
36,603869,2016,2017-04-10
37,603919,2016,2017-04-29
38,300568,2016,2017-02-25
39,600936,2016,2017-04-15
40,300031,2016,2017-03-17
41,300459,2016,2017-04-01
42,002833,2016,2017-04-21
43,300529,2016,2017-04-21
44,603727,2016,2017-04-20
45,603060,2016,2017-04-12
46,603886,2016,2017-04-25
47,603660,2016,2017-04-12
48,002403,2016,2017-04-27
49,002356,2016,2017-04-28
50,300523,2016,2017-04-13
51,300495,2016,2017-03-28
52,600053,2016,2017-04-29
53,000899,2016,2017-04-11
54,600368,2016,2017-03-10
55,002789,2016,2017-03-28
56,300528,2016,2017-03-31
57,000766,2016,2017-04-20
58,603608,2016,2017-04-18
59,601020,2016,2017-04-21
60,300339,2016,2017-04-11
61,600305,2016,2017-04-18
62,603823,2016,2017-04-20
