review_batch_id,security_code,security_name,listed_company_name,exchange,cninfo_org_id,annual_report_title,annual_report_source_url,annual_report_fallback_pdf_url,current_report_title,current_report_source_url,current_report_fallback_pdf_url,official_disclosure_page,research_report_title,research_report_org,research_reporter,research_report_publish_date,research_report_source_url,research_report_info_code,source_fetched_at_utc
batch-012,600196,复星医药,上海复星医药(集团)股份有限公司,SSE,gssh0600196,复星医药2025年年度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225028389&announceTime=1774368000000,https://www.cninfo.com.cn/finalpage/2026-03-25/1225028389.PDF,复星医药2026年第一季度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225226858&announceTime=1777392000000,https://www.cninfo.com.cn/finalpage/2026-04-29/1225226858.PDF,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=600196,,,,,,,2026-06-14T00:00:00+00:00
batch-012,300130,新国都,新国都,SZSE,9900014467,2025年年度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225044505&announceTime=1774627200000,https://www.cninfo.com.cn/finalpage/2026-03-28/1225044505.PDF,2026年一季度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225238429&announceTime=1777392000000,https://www.cninfo.com.cn/finalpage/2026-04-29/1225238429.PDF,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=300130,海外业务驱动增长，加速布局人工智能,太平洋证券股份有限公司,曹佩,2026-04-01 00:00:00.000,https://pdf.dfcfw.com/pdf/H3_AP202604011820950597_1.pdf,AP202604011820950597,2026-06-14T00:00:00+00:00
batch-012,002152,广电运通,广电运通,SZSE,9900003423,2025年年度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225043413&announceTime=1774627200000,https://www.cninfo.com.cn/finalpage/2026-03-28/1225043413.PDF,2026年一季度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225182101&announceTime=1777046400000,https://www.cninfo.com.cn/finalpage/2026-04-25/1225182101.PDF,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=002152,2025年年报点评：业绩稳健，AI机器人及数币持续推进,东莞证券股份有限公司,"卢芷心,罗炜斌",2026-04-15 00:00:00.000,https://pdf.dfcfw.com/pdf/H3_AP202604151821248052_1.pdf,AP202604151821248052,2026-06-14T00:00:00+00:00
batch-012,300602,飞荣达,飞荣达,SZSE,9900030885,2025年年度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225207279&announceTime=1777305600000,https://www.cninfo.com.cn/finalpage/2026-04-28/1225207279.PDF,2026年一季度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225207288&announceTime=1777305600000,https://www.cninfo.com.cn/finalpage/2026-04-28/1225207288.PDF,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=300602,公司事件点评报告：业绩显著增长，液冷进入收获期,华鑫证券有限责任公司,"黎江涛,胡天仪",2026-05-13 00:00:00.000,https://pdf.dfcfw.com/pdf/H3_AP202605131822248595_1.pdf,AP202605131822248595,2026-06-14T00:00:00+00:00
batch-012,000915,华特达因,华特达因,SZSE,gssz0000915,2025年年度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225160961&announceTime=1776960000000,https://www.cninfo.com.cn/finalpage/2026-04-24/1225160961.PDF,2026年一季度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225160969&announceTime=1776960000000,https://www.cninfo.com.cn/finalpage/2026-04-24/1225160969.PDF,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=000915,2025年年报点评：深耕儿童用药，新产品研发稳步推进,西南证券股份有限公司,杜向阳,2026-04-29 00:00:00.000,https://pdf.dfcfw.com/pdf/H3_AP202604291821731550_1.pdf,AP202604291821731550,2026-06-14T00:00:00+00:00
batch-012,000028,国药一致,国药一致,SZSE,gssz0000028,2025年年度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225073245&announceTime=1775059200000,https://www.cninfo.com.cn/finalpage/2026-04-02/1225073245.PDF,2026年一季度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225254478&announceTime=1777478400000,https://www.cninfo.com.cn/finalpage/2026-04-30/1225254478.PDF,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=000028,推进提质增效&结构优化，国大药房经营趋势持续向好,华源证券股份有限公司,刘闯,2026-05-17 00:00:00.000,https://pdf.dfcfw.com/pdf/H3_AP202605171822384685_1.pdf,AP202605171822384685,2026-06-14T00:00:00+00:00
batch-012,688726,拉普拉斯,拉普拉斯新能源科技股份有限公司,SSE,9900059088,2025年年度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225170917&announceTime=1776960000000,https://www.cninfo.com.cn/finalpage/2026-04-24/1225170917.PDF,2026年第一季度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225239991&announceTime=1777392000000,https://www.cninfo.com.cn/finalpage/2026-04-29/1225239991.PDF,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688726,2025年报&2026年一季报点评：业绩短期承压，看好海外需求放量,东吴证券股份有限公司,"周尔双,李文意",2026-05-01 00:00:00.000,https://pdf.dfcfw.com/pdf/H3_AP202605011821925684_1.pdf,AP202605011821925684,2026-06-14T00:00:00+00:00
batch-012,688200,华峰测控,北京华峰测控技术股份有限公司,SSE,9900040164,华峰测控2025年度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225240540&announceTime=1777392000000,https://www.cninfo.com.cn/finalpage/2026-04-29/1225240540.PDF,华峰测控2026年一季度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225240548&announceTime=1777392000000,https://www.cninfo.com.cn/finalpage/2026-04-29/1225240548.PDF,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688200,业绩持续增长，看好8600放量,太平洋证券股份有限公司,"张世杰,罗平",2026-05-20 00:00:00.000,https://pdf.dfcfw.com/pdf/H3_AP202605201822473329_1.pdf,AP202605201822473329,2026-06-14T00:00:00+00:00
batch-012,300401,花园生物,花园生物,SZSE,9900014590,2025年年度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225116031&announceTime=1776441600000,https://www.cninfo.com.cn/finalpage/2026-04-18/1225116031.PDF,2026年一季度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225116040&announceTime=1776441600000,https://www.cninfo.com.cn/finalpage/2026-04-18/1225116040.PDF,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=300401,,,,,,,2026-06-14T00:00:00+00:00
batch-012,300545,联得装备,联得装备,SZSE,9900028900,2025年年度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225136777&announceTime=1776787200000,https://www.cninfo.com.cn/finalpage/2026-04-22/1225136777.pdf,2026年一季度报告,https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225148013&announceTime=1776873600000,https://www.cninfo.com.cn/finalpage/2026-04-23/1225148013.PDF,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=300545,,,,,,,2026-06-14T00:00:00+00:00
