security_code,security_name,effective_tier,as_of
HK:00700,腾讯控股,中性,2026-08-23
HK:03690,美团,无法估值,2026-08-23
HK:06862,海底捞,高估,2026-08-23
HK:09618,京东集团,高估,2026-08-23
HK:09988,阿里巴巴,高估,2026-08-23
HK:09992,泡泡玛特,高估,2026-08-23
KR:000660,SK海力士,无法估值,2026-08-23
KR:005930,三星电子,无法估值,2026-08-23
US:AAPL,苹果,高估,2026-08-23
US:ADBE,Adobe,高估,2026-08-23
US:AMD,AMD,高估,2026-08-23
US:ASML,阿斯麦,高估,2026-08-23
US:BRK.B,伯克希尔哈撒韦,较高估,2026-08-23
US:DIS,迪士尼,高估,2026-08-23
US:GLW,康宁,高估,2026-08-23
US:GOOGL,谷歌-A,高估,2026-08-23
US:INTC,英特尔,无法估值,2026-08-23
US:META,Meta Platforms,较低估,2026-08-23
US:MSFT,微软,高估,2026-08-23
US:MU,美光科技,高估,2026-08-23
US:NVDA,英伟达,高估,2026-08-23
US:PDD,拼多多,低估,2026-08-23
US:SPCX,SpaceX,无法估值,2026-08-23
US:TSLA,特斯拉,高估,2026-08-23
US:TSM,台积电,高估,2026-08-23
US:UBER,优步,高估,2026-08-23
