number,security_code,as_of_year,cutoff_notice
1,600028,2003,2004-04-30
2,600170,2003,2004-04-30
3,000725,2003,2004-04-30
4,600309,2003,2004-04-30
5,600741,2003,2004-04-30
6,600029,2003,2004-04-30
7,600585,2003,2004-04-30
8,000625,2003,2004-04-30
9,000425,2003,2004-04-30
10,600871,2003,2004-04-30
11,600546,2003,2004-04-30
12,000626,2003,2004-04-30
13,600361,2003,2004-04-30
14,000761,2003,2004-04-30
15,000016,2003,2004-04-30
16,600348,2003,2004-04-30
17,600660,2003,2004-04-30
18,600066,2003,2004-04-30
19,000550,2003,2004-04-30
20,600271,2003,2004-04-30
21,600231,2003,2004-04-30
22,600835,2003,2004-04-30
23,600026,2003,2004-04-30
24,600352,2003,2004-04-30
25,600535,2003,2004-04-30
26,600879,2003,2004-04-30
27,600663,2003,2004-04-30
28,000729,2003,2004-04-30
29,600267,2003,2004-04-30
30,600477,2003,2004-04-30
31,600327,2003,2004-04-30
32,600250,2003,2004-04-30
33,600258,2003,2004-04-30
34,600329,2003,2004-04-30
35,600004,2003,2004-04-30
36,600012,2003,2004-04-30
37,600020,2003,2004-04-30
38,600616,2003,2004-04-30
39,000011,2003,2004-04-30
40,600636,2003,2004-04-30
41,600269,2003,2004-04-30
42,600775,2003,2004-04-30
43,000607,2003,2004-04-30
44,600232,2003,2004-04-30
45,600289,2003,2004-04-30
46,600656,2003,2004-04-30
47,600512,2003,2004-04-30
48,600037,2003,2004-04-30
49,000416,2003,2004-04-30
50,600530,2003,2004-04-30
