security_code,security_name,report_date,notice_date,predict_finance_code,predict_finance,predict_type,predict_amt_lower,predict_amt_upper,add_amp_lower,add_amp_upper,preyear_same_period,is_latest,source,retrieved_at_utc
688012,中微公司,2026-06-30,2026-08-04,004,归属于上市公司股东的净利润,预增,2700000000,2900000000,282.48,310.81,706000000,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688012,中微公司,2026-06-30,2026-08-04,005,扣除非经常性损益后的净利润,预增,1000000000,1200000000,85.61,122.73,539000000,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688012,中微公司,2026-06-30,2026-08-04,006,营业收入,略增,6691000000,6691000000,34.89,34.89,4961000000,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
600889,*ST京化,2026-06-30,2026-08-01,005,扣除非经常性损益后的净利润,扭亏,20000000,26000000,121.56,128.03,-92769100,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
600889,*ST京化,2026-06-30,2026-08-01,004,归属于上市公司股东的净利润,扭亏,40000000,48000000,144.98,153.97,-88931700,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
300613,富瀚微,2026-06-30,2026-07-31,004,归属于上市公司股东的净利润,预增,270000000,350000000,1072.72,1420.19,23023400,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
300613,富瀚微,2026-06-30,2026-07-31,005,扣除非经常性损益后的净利润,预增,266000000,346000000,1640.93,2164.52,15279200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
300670,大烨智能,2026-06-30,2026-07-31,005,扣除非经常性损益后的净利润,减亏,-15000000,-12000000,64.75,71.8,-42548700,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
300670,大烨智能,2026-06-30,2026-07-31,004,归属于上市公司股东的净利润,扭亏,6000000,9000000,113.88,120.82,-43224400,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
301655,绿控传动,2026-06-30,2026-07-31,004,归属于上市公司股东的净利润,预增,120664000,151326700,76.68,121.58,68295500,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
301655,绿控传动,2026-06-30,2026-07-31,006,营业收入,预增,2213907300,2463907300,81.61,102.11,1219063200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
301655,绿控传动,2026-06-30,2026-07-31,005,扣除非经常性损益后的净利润,预增,119457800,150120500,93.51,143.18,61732100,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
301707,展芯股份,2026-06-30,2026-07-31,005,扣除非经常性损益后的净利润,略增,124263200,140909400,0.81,14.31,123269200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
301707,展芯股份,2026-06-30,2026-07-31,002,净利润,略增,126760000,143406100,1.85,15.22,124461200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
301707,展芯股份,2026-06-30,2026-07-31,006,营业收入,续盈,317055700,347257400,-6.79,2.09,340164300,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688218,江苏北人,2026-06-30,2026-07-31,004,归属于上市公司股东的净利润,扭亏,15821300,15821300,166.71,166.71,-23718200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
