number,security_code,as_of_year,cutoff_notice
1,601857,2007,2008-03-20
2,601390,2007,2008-04-30
3,601318,2007,2008-04-30
4,601398,2007,2008-04-30
5,601628,2007,2008-04-30
6,601939,2007,2008-04-30
7,601601,2007,2008-04-30
8,601919,2007,2008-04-30
9,601088,2007,2008-04-30
10,601600,2007,2008-04-30
11,601328,2007,2008-04-30
12,000338,2007,2008-04-30
13,601166,2007,2008-04-30
14,601998,2007,2008-04-30
15,000708,2007,2008-04-30
16,600068,2007,2008-04-30
17,600782,2007,2008-04-30
18,002183,2007,2008-04-30
19,601003,2007,2008-04-30
20,600787,2007,2008-04-30
21,600030,2007,2008-04-30
22,000028,2007,2008-04-30
23,002202,2007,2008-04-30
24,002142,2007,2008-04-30
25,601169,2007,2008-04-07
26,600406,2007,2008-04-30
27,002110,2007,2008-04-30
28,601168,2007,2008-04-30
29,002171,2007,2008-04-30
30,000951,2007,2008-04-30
31,601009,2007,2008-04-30
32,600511,2007,2008-04-30
33,601808,2007,2008-04-30
34,002061,2007,2008-04-30
35,000963,2007,2008-04-30
36,000031,2007,2008-04-30
37,601005,2007,2008-04-30
38,600018,2007,2008-04-30
39,601866,2007,2008-04-30
40,000617,2007,2008-04-30
