number,security_code,as_of_year,cutoff_notice
1,001277,2024,2025-03-29
2,002835,2024,2025-04-24
3,603391,2024,2025-04-10
4,301252,2024,2025-04-22
5,301626,2024,2025-04-23
6,603310,2024,2025-04-29
7,688708,2024,2025-04-18
8,688531,2024,2025-04-26
9,301611,2024,2025-04-08
10,603205,2024,2025-04-23
11,301538,2024,2025-04-22
12,301580,2024,2025-04-29
13,301600,2024,2025-04-21
14,300514,2024,2025-04-01
15,300880,2024,2025-04-23
16,688418,2024,2025-04-30
17,603058,2024,2025-03-28
18,605155,2024,2025-03-29
19,688080,2024,2025-04-23
20,301161,2024,2025-04-29
21,688279,2024,2025-03-31
22,688709,2024,2025-04-30
23,300711,2024,2025-03-27
24,301095,2024,2025-04-21
25,301277,2024,2025-03-11
26,301162,2024,2025-04-12
27,688386,2024,2025-04-30
28,301328,2024,2025-04-26
29,688179,2024,2025-04-25
30,688502,2024,2025-03-29
31,002871,2024,2025-04-26
32,300515,2024,2025-04-21
33,300018,2024,2025-03-25
34,000548,2024,2025-04-03
35,688198,2024,2025-04-25
36,688253,2024,2025-04-26
37,688305,2024,2025-04-29
38,301551,2024,2025-04-21
39,301633,2024,2025-04-24
40,300445,2024,2025-03-28
41,301052,2024,2025-04-26
42,301215,2024,2025-04-26
43,301512,2024,2025-04-29
44,688089,2024,2025-03-28
45,301598,2024,2025-04-18
46,605398,2024,2025-04-26
47,301592,2024,2025-04-25
48,300354,2024,2025-04-18
49,688247,2024,2025-04-30
50,688523,2024,2025-04-29
51,600462,2024,2025-04-30
