number,security_code,as_of_year,cutoff_notice
1,002352,2015,2016-04-22
2,600346,2015,2016-04-28
3,001979,2015,2016-03-29
4,601155,2015,2016-02-05
5,002714,2015,2016-02-25
6,300498,2015,2016-04-18
7,600339,2015,2016-04-16
8,002761,2015,2016-03-24
9,601985,2015,2016-04-29
10,600233,2015,2016-03-08
11,300433,2015,2016-04-23
12,601211,2015,2016-04-25
13,600482,2015,2016-04-22
14,002120,2015,2016-03-29
15,002758,2015,2016-04-15
16,002466,2015,2016-04-23
17,600584,2015,2016-04-29
18,000050,2015,2016-02-19
19,000166,2015,2016-04-27
20,002462,2015,2016-04-20
21,601689,2015,2016-04-18
22,603899,2015,2016-03-22
23,603939,2015,2016-03-08
24,600958,2015,2016-03-14
25,603997,2015,2016-04-26
26,603885,2015,2016-04-15
27,603883,2015,2016-03-25
28,600691,2015,2016-04-13
29,601021,2015,2016-04-29
30,300476,2015,2016-03-25
31,002745,2015,2016-02-29
32,000966,2015,2016-04-28
33,300450,2015,2016-02-17
34,600390,2015,2016-04-28
35,002739,2015,2016-03-31
36,002280,2015,2016-02-23
37,300059,2015,2016-03-19
38,002756,2015,2016-04-19
39,000404,2015,2016-03-26
40,600203,2015,2016-03-31
41,300088,2015,2016-04-15
42,603118,2015,2016-03-31
43,603108,2015,2016-03-30
44,600179,2015,2016-04-29
45,603355,2015,2016-04-26
46,600545,2015,2016-04-22
47,002130,2015,2016-04-12
48,603026,2015,2016-03-15
49,000408,2015,2016-04-27
50,002049,2015,2016-04-12
51,603198,2015,2016-04-29
52,603568,2015,2016-04-16
53,300363,2015,2016-02-24
54,603611,2015,2016-04-28
55,603030,2015,2016-03-14
