number,security_code,as_of_year,cutoff_notice
1,002370,2017,2018-04-21
2,300112,2017,2018-04-17
3,603196,2017,2018-04-25
4,300579,2017,2018-03-29
5,603222,2017,2018-04-21
6,603630,2017,2018-04-20
7,603978,2017,2018-03-27
8,300447,2017,2018-04-18
9,002873,2017,2018-04-24
10,002879,2017,2018-03-15
11,603776,2017,2018-04-02
12,300663,2017,2018-04-24
13,603922,2017,2018-04-20
14,002040,2017,2018-04-25
15,300165,2017,2018-04-23
16,603006,2017,2018-03-31
17,600624,2017,2018-04-21
18,000056,2017,2018-04-21
19,600568,2017,2018-04-28
20,603117,2017,2018-04-26
21,603096,2017,2018-03-30
22,300086,2017,2018-04-24
23,300709,2017,2018-04-24
24,300097,2017,2018-04-25
25,300262,2017,2018-04-23
26,300608,2017,2018-04-24
27,300227,2017,2018-04-03
28,002907,2017,2018-04-23
29,300309,2017,2018-03-27
30,000673,2017,2018-04-28
31,600634,2017,2018-04-28
32,300065,2017,2018-04-25
33,002464,2017,2018-04-26
34,300382,2017,2018-04-25
35,300342,2017,2018-03-31
36,300683,2017,2018-04-09
37,300429,2017,2018-03-28
38,603595,2017,2018-03-23
39,002159,2017,2018-03-16
40,300352,2017,2018-04-24
41,002887,2017,2018-04-03
42,300045,2017,2018-04-20
43,300150,2017,2018-04-03
44,300468,2017,2018-04-23
45,002161,2017,2018-04-26
46,300490,2017,2018-04-24
47,300520,2017,2018-03-27
48,300695,2017,2018-04-20
49,002148,2017,2018-03-31
50,603977,2017,2018-03-07
51,603396,2017,2018-03-20
52,300306,2017,2018-04-27
53,300089,2017,2018-04-23
54,603881,2017,2018-03-22
55,300500,2017,2018-04-14
56,300556,2017,2018-04-10
57,300461,2017,2018-04-21
58,300612,2017,2018-04-20
