security_code,security_name,quality_tier,report_date,notice_date,available_at,status,reason,eps_ttm,roe_ttm,roe_source,bps,eps0,roe0,roe_anchor,roe_trend,growth_confirmed,roe_window,roe_efficiency,incremental_roe,payout,g_trailing,g_sustainable,g0,g0_capped,r_mode,rf,erp,beta,r,g_terminal,roe_terminal,intrinsic_value,band_low,band_high,mos,max_buy_price,implied_pe,pe_on_ttm_eps,terminal_share,min_payout
000063,中兴通讯,L2,2024-03-31,2024-04-26,2024-04-26,ok,,1.9700,0.1472,weightavg_ttm,14.8157,2.1468,0.1449,0.1449,,,9,0.0197,0.1000,0.2622,0.1852,0.1069,0.1069,,market,0.0229,0.0514,1.00,0.0743,0.0229,0.1043,34.5117,31.0606,37.9629,0.20,27.6094,16.08,17.52,0.8478,0.1018
000063,中兴通讯,L2,2024-06-30,2024-08-17,2024-08-17,ok,,2.0100,0.1454,weightavg_ttm,14.7170,2.1325,0.1449,0.1449,,,9,0.0197,0.1000,0.2622,0.1394,0.1069,0.1069,,market,0.0215,0.0514,1.00,0.0729,0.0215,0.1029,34.6425,31.1783,38.1068,0.20,27.7140,16.25,17.24,0.8541,0.0950
000063,中兴通讯,L2,2024-09-30,2024-10-22,2024-10-22,ok,,1.9600,0.1386,weightavg_ttm,15.1186,2.1907,0.1449,0.1449,,,9,0.0197,0.1000,0.2622,0.0826,0.1069,0.1069,,market,0.0215,0.0514,1.00,0.0729,0.0215,0.1029,35.5813,32.0231,39.1394,0.20,28.4650,16.24,18.15,0.8540,0.0951
000063,中兴通讯,L2,2024-12-31,2025-03-01,2025-03-01,ok,,1.7600,0.1197,weightavg_ttm,15.2200,2.2054,0.1449,0.1449,,,9,0.1566,0.1441,0.3110,0.0734,0.0998,0.0998,,market,0.0172,0.0514,1.00,0.0686,0.0172,0.0986,36.5335,32.8802,40.1869,0.20,29.2268,16.57,20.76,0.8603,0.1193
000063,中兴通讯,L2,2025-03-31,2025-04-23,2025-04-23,ok,,1.7000,0.1141,weightavg_ttm,15.1108,2.1896,0.1449,0.1449,,,9,0.1566,0.1441,0.3110,0.0592,0.0998,0.0998,,market,0.0181,0.0514,1.00,0.0696,0.0181,0.0996,36.0013,32.4012,39.6015,0.20,28.8011,16.44,21.18,0.8557,0.1240
000063,中兴通讯,L2,2025-06-30,2025-08-29,2025-08-29,ok,,1.6200,0.1054,weightavg_ttm,15.6450,2.2670,0.1449,0.1449,,,9,0.1566,0.1441,0.3110,0.0201,0.0998,0.0998,,market,0.0184,0.0514,1.00,0.0698,0.0184,0.0998,37.2030,33.4827,40.9233,0.20,29.7624,16.41,22.96,0.8545,0.1252
000063,中兴通讯,L2,2025-09-30,2025-10-29,2025-10-29,ok,,1.2200,0.0790,weightavg_ttm,15.6714,2.2708,0.1449,0.1449,,,9,0.1566,0.1441,0.3110,-0.0912,0.0998,0.0998,,market,0.0186,0.0514,1.00,0.0700,0.0186,0.1000,37.2018,33.4816,40.9220,0.20,29.7614,16.38,30.49,0.8535,0.1263
000063,中兴通讯,L2,2025-12-31,2026-03-07,2026-03-07,ok,,1.1700,0.0758,weightavg_ttm,15.7412,2.2809,0.1449,0.1449,,,9,0.0740,-0.0617,0.3501,-0.1141,0.0942,0.0942,,market,0.0178,0.0514,1.00,0.0692,0.0178,0.0992,37.2070,33.4863,40.9277,0.20,29.7656,16.31,31.80,0.8463,0.1585
000063,中兴通讯,L2,2026-03-31,2026-04-25,2026-04-25,ok,,0.9300,0.0592,weightavg_ttm,16.0315,2.3230,0.1449,0.1449,,,9,0.0740,-0.0617,0.3501,-0.1927,0.0942,0.0942,,market,0.0182,0.0514,1.00,0.0696,0.0182,0.0996,37.7734,33.9960,41.5507,0.20,30.2187,16.26,40.62,0.8444,0.1606
000100,TCL科技,L2,2024-03-31,2024-04-30,2024-04-30,ok,,0.1621,0.0581,weightavg_ttm,2.8586,0.2973,0.1040,0.1040,,,9,0.1056,-0.0768,0.2901,-0.2222,0.0738,0.0738,,market,0.0230,0.0514,1.00,0.0745,0.0230,0.1040,4.9776,4.4799,5.4754,0.20,3.9821,16.74,30.71,0.7058,0.3390
000100,TCL科技,L2,2024-06-30,2024-08-27,2024-08-27,ok,,0.1546,0.0547,weightavg_ttm,2.7887,0.2900,0.1040,0.1040,,,9,0.1056,-0.0768,0.2901,-0.3400,0.0738,0.0738,,market,0.0215,0.0514,1.00,0.0729,0.0215,0.1029,4.9233,4.4310,5.4157,0.20,3.9387,16.98,31.85,0.7107,0.3298
000100,TCL科技,L2,2024-09-30,2024-10-30,2024-10-30,ok,,0.1146,0.0401,weightavg_ttm,2.8231,0.2936,0.1040,0.1040,,,9,0.1056,-0.0768,0.2901,-0.4296,0.0738,0.0738,,market,0.0215,0.0514,1.00,0.0729,0.0215,0.1029,4.9832,4.4849,5.4815,0.20,3.9866,16.97,43.48,0.7106,0.3300
000100,TCL科技,L2,2024-12-31,2025-04-29,2025-04-29,ok,,0.0842,0.0295,weightavg_ttm,2.8312,0.2574,0.0909,0.0909,,,9,0.0752,-0.3486,0.4211,-0.4624,0.0526,0.0526,,market,0.0181,0.0514,1.00,0.0696,0.0181,0.0909,4.2609,3.8348,4.6870,0.20,3.4087,16.56,50.60,0.6800,0.4590
000100,TCL科技,L2,2025-03-31,2025-04-29,2025-04-29,ok,,0.1258,0.0441,weightavg_ttm,2.8519,0.2592,0.0909,0.0909,,,9,0.0752,-0.3486,0.4211,-0.3624,0.0526,0.0526,,market,0.0181,0.0514,1.00,0.0696,0.0181,0.0909,4.2921,3.8629,4.7213,0.20,3.4336,16.56,34.12,0.6800,0.4590
