security_code,security_name,before_commit,after_commit,old_v,new_v,change_pct,direction,old_report_date,new_report_date,old_available_at,new_available_at,same_report_and_available_at
000893,亚钾国际,318d5ed0^,318d5ed0,26.0743,26.0792,0.01879245,higher,2026-06-30,2026-06-30,2026-08-28,2026-08-28,True
000895,双汇发展,318d5ed0^,318d5ed0,14.4838,14.4903,0.04487773,higher,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
000933,神火股份,318d5ed0^,318d5ed0,27.4442,25.992,-5.29146413,lower,2026-06-30,2026-06-30,2026-07-28,2026-07-28,True
000975,山金国际,318d5ed0^,318d5ed0,8.8545,8.502,-3.9810266,lower,2026-06-30,2026-06-30,2026-08-20,2026-08-20,True
000999,华润三九,318d5ed0^,318d5ed0,18.796,17.8081,-5.25590551,lower,2026-06-30,2026-06-30,2026-08-22,2026-08-22,True
001232,嘉立创,318d5ed0^,318d5ed0,35.852,39.5549,10.3282941,higher,2026-06-30,2026-06-30,2026-08-27,2026-08-27,True
002001,新和成,318d5ed0^,318d5ed0,32.3302,32.4573,0.39313088,higher,2026-06-30,2026-06-30,2026-08-20,2026-08-20,True
002003,伟星股份,318d5ed0^,318d5ed0,6.9486,6.9766,0.40295887,higher,2026-06-30,2026-06-30,2026-08-27,2026-08-27,True
002027,分众传媒,318d5ed0^,318d5ed0,2.2934,2.2934,0.0,unchanged,2026-06-30,2026-06-30,2026-08-19,2026-08-19,True
002032,苏泊尔,318d5ed0^,318d5ed0,17.7099,17.7099,0.0,unchanged,2026-06-30,2026-06-30,2026-08-28,2026-08-28,True
002050,三花智控,318d5ed0^,318d5ed0,15.5793,15.5366,-0.27408163,lower,2026-06-30,2026-06-30,2026-08-27,2026-08-27,True
002128,电投能源,318d5ed0^,318d5ed0,27.7337,27.7337,0.0,unchanged,2026-06-30,2026-06-30,2026-08-26,2026-08-26,True
002138,顺络电子,318d5ed0^,318d5ed0,17.3442,16.7355,-3.50953056,lower,2026-06-30,2026-06-30,2026-07-31,2026-07-31,True
002142,宁波银行,318d5ed0^,318d5ed0,31.4093,31.4093,0.0,unchanged,2026-06-30,2026-06-30,2026-08-20,2026-08-20,True
002179,中航光电,318d5ed0^,318d5ed0,19.2784,19.155,-0.64009461,lower,2026-06-30,2026-06-30,2026-08-27,2026-08-27,True
002222,福晶科技,318d5ed0^,318d5ed0,8.9871,8.5435,-4.93596377,lower,2026-06-30,2026-06-30,2026-08-28,2026-08-28,True
002262,恩华药业,318d5ed0^,318d5ed0,15.4531,15.0583,-2.55482719,lower,2026-06-30,2026-06-30,2026-08-18,2026-08-18,True
002270,华明装备,318d5ed0^,318d5ed0,7.4073,7.4073,0.0,unchanged,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
002287,奇正藏药,318d5ed0^,318d5ed0,16.5609,16.5609,0.0,unchanged,2026-06-30,2026-06-30,2026-08-22,2026-08-22,True
002311,海大集团,318d5ed0^,318d5ed0,24.9668,26.0921,4.50718554,higher,2026-06-30,2026-06-30,2026-08-25,2026-08-25,True
002352,顺丰控股,318d5ed0^,318d5ed0,27.7614,27.7614,0.0,unchanged,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
002371,北方华创,318d5ed0^,318d5ed0,111.8553,122.2807,9.32043453,higher,2026-06-30,2026-06-30,2026-08-26,2026-08-26,True
002372,伟星新材,318d5ed0^,318d5ed0,5.603,5.603,0.0,unchanged,2026-06-30,2026-06-30,2026-08-07,2026-08-07,True
002379,宏桥控股,318d5ed0^,318d5ed0,23.0183,23.0183,0.0,unchanged,2026-06-30,2026-06-30,2026-08-22,2026-08-22,True
002409,雅克科技,318d5ed0^,318d5ed0,20.3418,20.3418,0.0,unchanged,2026-06-30,2026-06-30,2026-08-26,2026-08-26,True
002415,海康威视,318d5ed0^,318d5ed0,17.2514,17.2514,0.0,unchanged,2026-06-30,2026-06-30,2026-07-25,2026-07-25,True
002463,沪电股份,318d5ed0^,318d5ed0,20.5161,20.6723,0.76135328,higher,2026-06-30,2026-06-30,2026-08-26,2026-08-26,True
002466,天齐锂业,318d5ed0^,318d5ed0,45.9244,45.9244,0.0,unchanged,2026-06-30,2026-06-30,2026-08-28,2026-08-28,True
