number,security_code,as_of_year,cutoff_notice
1,600785,2009,2010-04-30
2,002277,2009,2010-04-30
3,600525,2009,2010-04-30
4,000536,2009,2010-04-30
5,002022,2009,2010-04-30
6,300002,2009,2010-04-30
7,002025,2009,2010-04-30
8,002262,2009,2010-04-30
9,300022,2009,2010-04-30
10,002293,2009,2010-04-30
11,002007,2009,2010-04-30
12,600622,2009,2010-04-30
13,002294,2009,2010-04-30
14,000979,2009,2010-04-30
15,600252,2009,2010-04-30
16,300027,2009,2010-04-30
17,600658,2009,2010-04-30
18,000679,2009,2010-04-30
19,002325,2009,2010-04-30
20,600611,2009,2010-04-30
21,002284,2009,2010-04-30
22,002327,2009,2010-04-30
23,002016,2009,2010-04-30
24,002305,2009,2010-04-30
25,002317,2009,2010-04-30
26,002295,2009,2010-04-30
27,002275,2009,2010-04-30
28,002291,2009,2010-04-30
29,600716,2009,2010-04-30
30,600674,2009,2010-04-30
31,002041,2009,2010-04-30
32,600571,2009,2010-04-30
33,000014,2009,2010-04-30
34,600202,2009,2010-04-30
35,002306,2009,2010-04-30
36,000534,2009,2010-04-30
37,000925,2009,2010-04-30
38,002308,2009,2010-04-30
39,002328,2009,2010-04-30
40,000993,2009,2010-04-30
41,000888,2009,2010-04-30
42,600227,2009,2010-04-30
43,600647,2009,2010-04-30
