number,security_code,as_of_year,cutoff_notice
1,002191,2007,2008-04-30
2,002170,2007,2008-04-30
3,002003,2007,2008-04-30
4,000968,2007,2008-04-30
5,000006,2007,2008-04-30
6,000939,2007,2008-04-30
7,000911,2007,2008-04-30
8,600285,2007,2008-04-30
9,002172,2007,2008-04-30
10,000668,2007,2008-04-30
11,002014,2007,2008-04-30
12,002088,2007,2008-04-30
13,002122,2007,2008-04-30
14,000616,2007,2008-04-30
15,000677,2007,2008-04-30
16,600627,2007,2008-04-17
17,000635,2007,2008-04-30
18,600641,2007,2008-04-30
19,600197,2007,2008-04-30
20,002073,2007,2008-04-30
21,002133,2007,2008-04-30
22,000861,2007,2008-04-30
23,002186,2007,2008-04-30
24,000655,2007,2008-04-30
25,600059,2007,2008-04-30
26,000061,2007,2008-03-29
27,002160,2007,2008-04-30
28,002194,2007,2008-04-30
29,002077,2007,2008-04-30
30,002106,2007,2008-04-30
31,002114,2007,2008-04-30
32,002137,2007,2008-04-30
33,002067,2007,2008-04-30
34,600097,2007,2008-04-30
35,600790,2007,2008-04-30
36,000040,2007,2008-04-30
37,000952,2007,2008-04-30
38,000721,2007,2008-04-30
