number,security_code,as_of_year,cutoff_notice
1,603049,2025,2026-04-17
2,600930,2025,2026-04-21
3,688235,2025,2026-04-15
4,603268,2025,2026-03-10
5,301656,2025,2026-04-28
6,001280,2025,2026-04-29
7,301584,2025,2026-04-21
8,601069,2025,2026-04-08
9,688411,2025,2026-04-29
10,688525,2025,2026-03-20
11,688249,2025,2026-03-27
12,603124,2025,2026-04-29
13,600728,2025,2026-04-10
14,000948,2025,2026-04-21
15,688775,2025,2026-04-29
16,603271,2025,2026-03-31
17,002472,2025,2026-04-24
18,688256,2025,2026-03-13
19,001386,2025,2026-04-29
20,603092,2025,2026-04-15
21,301665,2025,2026-04-27
22,603418,2025,2026-04-29
23,603175,2025,2026-03-31
24,301301,2025,2026-03-31
25,600609,2025,2026-04-11
26,603382,2025,2026-04-28
27,301275,2025,2026-04-28
28,301607,2025,2026-04-27
29,300505,2025,2026-03-20
30,603202,2025,2026-04-24
31,603014,2025,2026-03-28
32,002881,2025,2026-03-31
33,001221,2025,2026-04-27
34,001369,2025,2026-04-22
35,601026,2025,2026-04-23
36,603406,2025,2026-04-22
37,688331,2025,2026-03-28
38,301563,2025,2026-04-15
39,603334,2025,2026-04-10
40,300881,2025,2026-04-29
41,688800,2025,2026-04-21
42,603376,2025,2026-04-28
43,600262,2025,2026-04-21
44,301058,2025,2026-04-24
45,301613,2025,2026-04-15
46,688533,2025,2026-04-29
47,300548,2025,2026-03-28
48,688428,2025,2026-03-26
49,603210,2025,2026-04-25
50,301173,2025,2026-04-01
51,001233,2025,2026-04-29
52,300236,2025,2026-03-13
53,301501,2025,2026-04-28
54,301491,2025,2026-04-23
55,301667,2025,2026-04-23
56,301479,2025,2026-04-20
57,603370,2025,2026-04-24
58,603400,2025,2026-04-20
59,605016,2025,2026-04-08
60,688796,2025,2026-03-27
