number,security_code,as_of_year,cutoff_notice
1,000789,2011,2012-03-29
2,600138,2011,2012-04-14
3,600420,2011,2012-03-09
4,601928,2011,2012-04-10
5,601098,2011,2012-04-10
6,000698,2011,2012-03-29
7,600653,2011,2012-04-19
8,002637,2011,2012-02-11
9,600828,2011,2012-02-24
10,002603,2011,2012-03-30
11,000666,2011,2012-03-29
12,002588,2011,2012-03-27
13,000552,2011,2012-04-17
14,600723,2011,2012-03-17
15,601908,2011,2012-03-28
16,002281,2011,2012-04-26
17,601028,2011,2012-04-18
18,002534,2011,2012-03-30
19,601801,2011,2012-03-29
20,002572,2011,2012-03-30
21,002607,2011,2012-04-17
22,002595,2011,2012-03-28
23,601100,2011,2012-04-17
24,600436,2011,2012-04-14
25,601558,2011,2012-04-30
26,300146,2011,2012-02-01
27,002411,2011,2012-04-12
28,000791,2011,2012-04-20
29,002641,2011,2012-03-28
30,600683,2011,2012-04-20
31,000997,2011,2012-04-18
32,002574,2011,2012-04-18
33,600677,2011,2012-04-30
34,000796,2011,2012-04-25
35,002252,2011,2012-04-30
36,600198,2011,2012-03-31
37,002223,2011,2012-04-05
38,002614,2011,2012-02-29
39,002208,2011,2012-03-28
40,601010,2011,2012-03-28
41,300026,2011,2012-03-13
42,002543,2011,2012-04-23
43,002597,2011,2012-04-25
44,002557,2011,2012-03-27
45,300138,2011,2012-03-13
46,002583,2011,2012-03-27
47,300012,2011,2012-03-27
48,002410,2011,2012-03-15
49,002570,2011,2012-04-25
50,002612,2011,2012-03-23
51,002636,2011,2012-04-21
52,300171,2011,2012-04-20
53,600563,2011,2012-03-23
54,002450,2011,2012-04-30
55,601116,2011,2012-03-28
