number,security_code,as_of_year,cutoff_notice
1,600748,2021,2022-03-31
2,600075,2021,2022-04-22
3,601918,2021,2022-04-23
4,002274,2021,2022-04-22
5,600995,2021,2022-03-22
6,002281,2021,2022-04-15
7,000739,2021,2022-03-10
8,002130,2021,2022-04-12
9,002791,2021,2022-04-27
10,002850,2021,2022-03-31
11,002164,2021,2022-04-30
12,002932,2021,2022-04-27
