trade_date,security_code,security_name,exchange,quality_tier,quality_tier_label,quality_score,pool_layer,fair_price_low,fair_price_high,band_position,margin_of_safety,model_intrinsic_value,model_band_source,model_pv,hold_intrinsic_value,hold_band_source,hold_pv,strategy_tag,total_market_cap_bn,signal_state,review_frozen,note,gap_trading_days,gap_return,gap_max_vol_ratio,gap_max_vol_day,close,mark_close,mark_date,tradable,adjustment_basis,amount,ma20,ma60,amount_ma20,data_source,screened_at_utc
2026-09-15,688012,中微公司,SSE,L2,L2,77.3,core,43.81,53.55,越带顶+517%,,,,,,,,D-产业链爆发/关键瓶颈型,318.9620,ok,,,,,,,330.6,330.6,2026-09-15,True,2026-09-15,4761883205.0,349.578,376.7258,5207665860.05,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.688012&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:44+00:00
2026-09-15,688008,澜起科技,SSE,L1,L1,78.2,core,36.03,44.03,越带顶+327%,,,,,,,,D-产业链爆发/关键瓶颈型,238.3710,ok,,,,,,,187.83,187.83,2026-09-15,True,2026-09-15,4579524834.0,197.189,222.4897,6198811536.2,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.688008&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:45+00:00
2026-09-15,688111,金山办公,SSE,L1,L1,81.2,core,40.32,49.27,越带顶+358%,,,,,,,,N-订阅/递延收入型,107.5070,ok,,,,,,,225.52,225.52,2026-09-15,True,2026-09-15,850577094.0,237.223,238.29,1391754287.8,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.688111&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:44+00:00
2026-09-15,600036,招商银行,SSE,L2,L2,69.9,core,47.95,58.60,低于带底-14%,0.2962,,,,,,,J-金融资本型,1034.0140,ok,,,,,,,41.1,41.1,2026-09-15,True,2026-09-15,2333633340.0,40.4075,38.6777,2999502000.9,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600036,day,2020-01-01,2026-09-15,1000,",2026-09-15T07:55:47+00:00
2026-09-15,300059,东方财富,SZSE,L2,L2,72.6,core,23.37,28.56,低于带底-22%,0.429,,,,,,,J-金融资本型,299.1980,ok,,,,,,,18.17,18.17,2026-09-15,True,2026-09-15,1552753369.53,18.948,19.7175,3526862418.5265,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.300059&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:46+00:00
2026-09-15,300124,汇川技术,SZSE,L2,L2,77.1,core,18.16,22.20,越带顶+132%,,,,,,,,C-GARP成长型,151.5150,ok,,,,,,,51.55,51.55,2026-09-15,True,2026-09-15,2372485471.44,58.555,61.7533,1307407290.122,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.300124&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:44+00:00
2026-09-15,600660,福耀玻璃,SSE,L1,L1,79.9,core,47.38,57.91,带内73%,,,,,,,,A-现金流复利型,143.9010,ok,,,,,,,55.03,55.03,2026-09-15,True,2026-09-15,709069852.0,56.2715,54.8033,599268782.0,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.600660&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:45+00:00
2026-09-15,600406,国电南瑞,SSE,L1,L1,74.5,core,12.01,14.68,越带顶+50%,,,,,,,,A-现金流复利型,180.3130,ok,,,,,,,21.99,21.99,2026-09-15,True,2026-09-15,686055015.0,22.7985,23.1263,720305373.75,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600406,day,2020-01-01,2026-09-15,1000,",2026-09-15T07:55:47+00:00
2026-09-15,300750,宁德时代,SZSE,L1,L1,78.1,core,188.62,230.54,越带顶+37%,,,,,,,,D-产业链爆发/关键瓶颈型,1558.4810,ok,,,,,,,316.36,316.36,2026-09-15,True,2026-09-15,15200560188.0,358.164,375.0213,9516101612.55,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz300750,day,2020-01-01,2026-09-15,1000,",2026-09-15T07:55:48+00:00
2026-09-15,300760,迈瑞医疗,SZSE,L2,L2,79.3,core,81.90,100.10,越带顶+60%,,,,,,,,A-现金流复利型,200.1890,ok,,,,,,,160.3,160.3,2026-09-15,True,2026-09-15,660948960.0,162.291,151.384,1513696293.35,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz300760,day,2020-01-01,2026-09-15,1000,",2026-09-15T07:55:47+00:00
