number,security_code,as_of_year,cutoff_notice
1,600396,2014,2015-04-02
2,603100,2014,2015-04-08
3,300347,2014,2015-04-11
4,000700,2014,2015-04-25
5,002711,2014,2015-04-30
6,300376,2014,2015-04-30
7,603018,2014,2015-03-30
8,002737,2014,2015-04-21
9,600816,2014,2015-02-10
10,300355,2014,2015-04-24
11,603456,2014,2015-04-11
12,002517,2014,2015-03-27
13,601016,2014,2015-03-18
14,603889,2014,2015-04-20
15,300298,2014,2015-03-17
16,603518,2014,2015-04-08
17,600891,2014,2015-04-30
18,601969,2014,2015-03-10
19,002713,2014,2015-04-17
20,002712,2014,2015-04-18
21,300389,2014,2015-04-08
22,600074,2014,2015-04-30
23,000421,2014,2015-03-24
24,603111,2014,2015-04-10
25,000541,2014,2015-04-27
26,002195,2014,2015-02-13
27,000558,2014,2015-03-10
28,002504,2014,2015-04-29
29,600509,2014,2015-04-29
30,600654,2014,2015-03-31
31,600759,2014,2015-04-18
32,603328,2014,2015-04-22
33,002731,2014,2015-04-25
34,002568,2014,2015-03-26
35,603555,2014,2015-03-31
36,603188,2014,2015-03-25
37,300349,2014,2015-03-23
38,300130,2014,2015-03-31
39,000838,2014,2015-02-17
40,300181,2014,2015-03-27
41,002582,2014,2015-04-17
42,000712,2014,2015-04-15
43,300009,2014,2015-03-03
44,300369,2014,2015-04-25
45,300212,2014,2015-03-25
46,300188,2014,2015-03-27
47,002366,2014,2015-04-17
48,300166,2014,2015-03-24
49,002270,2014,2015-02-07
50,300378,2014,2015-03-28
51,002733,2014,2015-03-28
52,600661,2014,2015-04-23
53,300206,2014,2015-04-17
54,300297,2014,2015-04-24
55,300367,2014,2015-03-27
