market_type,security_code,security_name,listed_company_name,exchange,attention_class,quality_tier,quality_tier_label,strategy_tag,latest_report_date,latest_report_type,latest_periodic_notice_date,latest_periodic_report_label,latest_express_notice_date,latest_forecast_notice_date,latest_forecast_type,last_quality_review_date,quality_evidence_available_at,quality_date_basis,last_valuation_review_date,valuation_date_basis,quality_review_needed,valuation_review_needed,buy_blocked,update_scope,queue_priority,queue_reasons,as_of,generated_at_utc
A_SHARE,300529,健帆生物,,,worth_attention,L2,,C-GARP成长型,2026-06-30,2026年 半年报,2026-08-07,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-07,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,300627,华测导航,,,worth_attention,L2,,C-GARP成长型,2026-06-30,2026年 半年报,2026-08-14,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-14,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,300628,亿联网络,,,worth_attention,L2,,A-DCF/现金流复利型,2026-06-30,2026年 半年报,2026-08-19,2026年 半年报,,2026-07-14,略增,2026-08-01,,reviewed_at_utc,2026-08-19,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,300832,新产业,,,worth_attention,L2,,C-GARP成长型,2026-06-30,2026年 半年报,2026-08-14,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-14,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,600066,宇通客车,,,worth_attention,L2,,A-DCF/现金流复利型,2026-06-30,2026年 半年报,2026-08-11,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-11,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,600183,生益科技,,,worth_attention,L2,,D-产业链爆发/关键瓶颈型,2026-06-30,2026年 半年报,2026-08-15,2026年 半年报,,2026-07-14,预增,2026-08-01,,reviewed_at_utc,2026-08-15,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,600285,羚锐制药,,,worth_attention,L2,,C-GARP成长型,2026-06-30,2026年 半年报,2026-08-12,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-12,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,600298,安琪酵母,,,worth_attention,L2,,A-DCF/现金流复利型,2026-06-30,2026年 半年报,2026-08-15,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-15,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,600519,贵州茅台,,,worth_attention,L1,,A-DCF/现金流复利型,2026-06-30,2026年 半年报,2026-08-15,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-15,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,600660,福耀玻璃,,,worth_attention,L1,,A-DCF/现金流复利型,2026-06-30,2026年 半年报,2026-08-19,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-19,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,600988,赤峰黄金,,,worth_attention,L2,,F 资源NAV型,2026-03-31,一季报,,,,2026-07-15,预增,,,reviewed_at_utc,2026-07-15,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,600989,宝丰能源,,,worth_attention,L2,,F-垄断资源型,2026-06-30,2026年 半年报,2026-08-13,2026年 半年报,,2026-07-14,预增,2026-08-01,,reviewed_at_utc,2026-08-13,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,601138,工业富联,,,worth_attention,L2,,D 产业链爆发型,2026-06-30,2026年 半年报,2026-08-12,2026年 半年报,,2026-07-10,预增,,,reviewed_at_utc,2026-08-12,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,603129,春风动力,,,worth_attention,L2,,C-GARP成长型,2026-06-30,2026年 半年报,2026-08-18,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-18,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,603369,今世缘,,,worth_attention,L2,,A 现金流复利型,2026-06-30,2026年 半年报,2026-08-18,2026年 半年报,,,,,,reviewed_at_utc,2026-08-18,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,603508,思维列控,,,worth_attention,L2,,A 现金流复利型,2026-06-30,2026年 半年报,2026-08-08,2026年 半年报,,,,,,reviewed_at_utc,2026-08-08,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,603556,海兴电力,,,worth_attention,L2,,C-GARP成长型,2026-06-30,2026年 半年报,2026-08-18,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-18,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,603605,珀莱雅,,,worth_attention,L2,,A 现金流复利型,2026-03-31,一季报,,,,,,,,reviewed_at_utc,2026-04-22,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,688082,盛美上海,,,worth_attention,L2,,D-产业链爆发/关键瓶颈型,2026-06-30,2026年 半年报,2026-08-08,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-08,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,688100,威胜信息,,,worth_attention,L2,,C-GARP成长型,2026-06-30,2026年 半年报,2026-08-17,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-17,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,688188,柏楚电子,,,worth_attention,L2,,C-GARP成长型,2026-06-30,2026年 半年报,2026-08-18,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-18,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,688256,寒武纪,,,worth_attention,L2,,D-产业链爆发/关键瓶颈型,2026-06-30,2026年 半年报,2026-08-08,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-08,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,688278,特宝生物,,,worth_attention,L2,,C-GARP成长型,2026-06-30,2026年 半年报,2026-08-19,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-19,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,688300,联瑞新材,,,worth_attention,L2,,C-GARP成长型,2026-06-30,2026年 半年报,2026-08-15,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-15,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,688301,奕瑞科技,,,worth_attention,L2,,C-GARP成长型,2026-06-30,2026年 半年报,2026-08-14,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-14,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,688775,影石创新,,,worth_attention,L2,,D 产业链爆发型,2026-03-31,一季报,,,,,,,,reviewed_at_utc,2026-04-29,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,689009,九号公司,,,worth_attention,L2,,C-GARP成长型,2026-06-30,2026年 半年报,2026-08-11,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-11,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
