date,net_assets,unit_nav,return_pct,debt,cash,opening_capital,opening_coal_shares
2026-08-28,2810738.34,1.0,0.0,1877806.66,0.0,2810738.34,10400
2026-08-31,2798045.3780330135,0.9954841182523642,-0.45158817476358415,1863558.6752626472,602.0532956609968,2810738.34,10400
2026-09-01,2844993.372225797,1.012187200686136,1.2187200686136102,1893980.6277742032,0.0,2810738.34,10400
2026-09-02,2775614.757645051,0.9875037879353263,-1.2496212064673662,1894162.2423549488,0.0,2810738.34,10400
2026-09-03,2766013.2604392087,0.9840877825856991,-1.5912217414300933,1842294.6116823733,468.8721215822072,2810738.34,10400
2026-09-04,2851430.201561787,1.014477285552588,1.4477285552588093,1899069.7984382128,0.0,2810738.34,10400
2026-09-07,2818540.967421552,1.0027760063291955,0.27760063291955017,1877245.4712784935,478.43870004514974,2810738.34,10400
2026-09-08,2813350.853751839,1.0009294759724376,0.09294759724376433,1873828.2677495058,379.12150134566355,2810738.34,10400
2026-09-09,2815925.922889179,1.0018456299596992,0.18456299596991688,1875329.077110821,0.0,2810738.34,10400
2026-09-10,2783114.3497932917,0.9901719808586992,-0.9828019141300826,1853613.9284776524,117.27827094413806,2810738.34,10400
2026-09-11,2719079.9047719315,0.9673899082231652,-3.2610091776834826,1810964.293590626,198.1983625566936,2810738.34,10400
2026-09-14,2718622.2138808975,0.9672270716885364,-3.277292831146361,1811032.4496656384,127.6635465362956,2810738.34,10400
2026-09-15,2673230.5532350396,0.951077699119812,-4.892230088018801,1811078.4467649604,0.0,2810738.34,10400
2026-09-16,2652597.8881785003,0.9437370424806247,-5.626295751937526,1811252.1118214994,0.0,2810738.34,10400
2026-09-17,2632079.206469148,0.9364369386547551,-6.356306134524492,1811425.793530852,0.0,2810738.34,10400
2026-09-18,2653614.808105385,0.9440988406289662,-5.590115937103379,1808323.1918946153,0.0,2810738.34,10400
