security_code,security_name,quality_tier,n_fwd3,spearman_fwd3,fair_pv_fwd3,median_pv,share_below_buy
000001,,NA,129,-0.250,1.975,3.923,0.181
000022,,NA,112,-0.361,0.589,1.232,0.222
000063,,NA,0,,,1.244,0.276
000333,美的集团,L2,112,-0.530,1.722,1.307,0.114
000338,潍柴动力,L2,161,-0.377,0.788,0.756,0.797
000408,藏格矿业,L2,29,-0.881,6.053,2.691,0.000
000423,东阿阿胶,L2,173,-0.174,0.880,1.926,0.033
000425,,NA,0,,,1.096,0.235
000426,兴业银锡,L2,0,,,8.504,0.000
000538,云南白药,L1,137,0.024,,2.207,0.000
000568,泸州老窖,L2,125,-0.647,1.804,1.764,0.199
000596,古井贡酒,L2,124,-0.543,4.073,2.659,0.019
000651,格力电器,L2,196,-0.240,5.403,0.900,0.534
000661,,NA,87,-0.115,,2.555,0.176
000708,,NA,28,-0.797,0.640,1.169,0.000
000725,京东方A,L3,41,-0.032,,8.918,0.000
000733,,NA,15,-0.864,,1.671,0.333
000778,,NA,52,-0.717,1.284,0.791,0.635
000786,北新建材,L2,76,0.223,,1.182,0.152
000792,盐湖股份,L2,137,0.027,,1.248,0.447
000858,五粮液,L2,167,-0.678,2.642,2.068,0.097
000869,,NA,95,-0.724,0.894,2.088,0.021
000893,亚钾国际,L2,0,,,1.754,0.000
000895,双汇发展,L2,194,-0.319,2.469,2.135,0.000
000933,神火股份,L2,128,-0.170,1.484,0.834,0.585
000951,,NA,0,,,1.003,0.276
000975,山金国际,L2,0,,,2.862,0.000
000999,华润三九,L2,156,-0.739,1.719,1.724,0.005
001872,,NA,110,-0.517,1.260,1.528,0.017
002001,新和成,L2,136,0.200,,1.270,0.151
002003,伟星股份,L2,16,-0.371,,1.528,0.000
002007,,NA,145,-0.307,2.996,3.382,0.000
002022,,NA,107,-0.819,2.714,3.231,0.000
002024,,NA,72,-0.865,1.069,1.263,0.264
002027,分众传媒,L2,76,-0.794,1.514,2.313,0.000
002032,苏泊尔,L2,113,-0.732,3.106,2.501,0.000
002049,,NA,40,-0.788,2.934,7.399,0.016
002050,三花智控,L2,121,-0.715,3.419,2.123,0.000
002063,,NA,69,-0.184,1.811,2.272,0.000
002128,电投能源,L2,162,-0.824,0.680,0.707,0.751
002130,,NA,0,,,2.229,0.000
002138,顺络电子,L2,0,,,2.220,0.000
002142,宁波银行,L2,164,-0.731,3.045,2.619,0.005
002152,,NA,115,-0.889,1.590,1.553,0.042
002153,,NA,104,-0.801,4.592,3.534,0.000
002158,,NA,0,,,1.020,0.310
002179,中航光电,L2,88,-0.307,2.882,2.213,0.000
002222,福晶科技,L2,16,-0.309,,4.648,0.000
002223,,NA,135,-0.330,2.660,2.207,0.000
002236,,NA,160,0.214,,1.616,0.099
002252,,NA,55,-0.847,8.575,7.904,0.000
002262,恩华药业,L2,88,-0.827,1.834,1.655,0.000
002270,华明装备,L2,16,-0.224,,2.638,0.000
002273,,NA,0,,,2.909,0.000
002275,,NA,150,-0.638,1.500,2.178,0.000
002287,奇正藏药,L2,88,-0.169,,2.438,0.000
002294,,NA,149,-0.501,2.101,1.997,0.000
002304,,NA,160,-0.685,1.567,2.028,0.150
002311,海大集团,L2,41,-0.286,,2.028,0.000
002352,顺丰控股,L2,64,-0.783,1.845,1.862,0.000
002371,北方华创,L1,29,-0.967,18.223,5.245,0.000
002372,伟星新材,L2,101,-0.699,2.521,2.341,0.000
002379,宏桥控股,L2,0,,,19.310,0.118
002409,雅克科技,L2,4,,,5.552,0.000
002410,,NA,122,-0.546,4.640,4.438,0.000
002414,,NA,28,-0.814,4.899,5.454,0.000
002415,海康威视,L2,154,-0.067,,2.074,0.000
002460,,NA,52,-0.685,2.970,3.128,0.131
002463,沪电股份,L2,0,,,5.174,0.000
002466,天齐锂业,L2,88,-0.683,1.366,1.064,0.484
002475,立讯精密,L2,41,-0.943,2.041,1.791,0.000
002484,,NA,0,,,5.199,0.000
002507,,NA,73,0.359,,2.663,0.000
002508,,NA,97,0.086,,1.857,0.010
002532,天山铝业,L2,4,,,0.788,0.800
002568,百润股份,L2,16,-0.356,,2.753,0.000
002594,比亚迪,L2,16,-0.218,,3.950,0.000
002595,豪迈科技,L2,88,-0.743,1.950,1.767,0.000
002607,,NA,37,-0.041,,19.235,0.000
002648,卫星化学,L2,4,,,0.830,0.825
002677,,NA,52,-0.056,,2.103,0.000
002683,,NA,0,,,2.009,0.000
002690,美亚光电,L2,113,-0.498,3.933,4.060,0.000
