date,net_equity,cash,positions,cash_ratio,debt,margin_ratio,top1_weight,top3_weight
2020-05-06,3000000.00,3000000.00,0,1.0000,0.00,,0.0000,0.0000
2020-05-07,2996839.92,2853823.92,1,0.9523,0.00,,0.0477,0.0477
2020-05-08,2999847.86,2707767.86,1,0.9026,0.00,,0.0974,0.0974
2020-05-11,3005111.50,2559071.50,1,0.8516,0.00,,0.1484,0.1484
2020-05-12,3001209.04,2263941.04,2,0.7543,0.00,,0.1965,0.2457
2020-05-13,3004638.65,1969424.65,2,0.6555,0.00,,0.2444,0.3445
2020-05-14,2984627.53,1377401.53,4,0.4615,0.00,,0.2875,0.4896
2020-05-15,2979446.26,1083842.26,4,0.3638,0.00,,0.3358,0.5861
2020-05-18,3001294.63,487159.63,5,0.1623,0.00,,0.3859,0.6886
2020-05-19,2997815.72,0.00,6,0.0000,257556.28,12.6395,0.4359,0.7856
2020-05-20,2994819.37,0.00,6,0.0000,1000020.63,3.9948,0.4794,0.9325
2020-05-21,3012156.24,0.00,10,0.0000,2003239.76,2.5036,0.5246,1.0336
2020-05-22,2896621.99,253.97,10,0.0001,1926722.98,2.5034,0.5804,1.1752
2020-05-25,2947055.01,0.00,8,0.0000,1962740.59,2.5015,0.5773,1.2309
2020-05-26,2996475.28,0.00,8,0.0000,1995134.12,2.5019,0.5749,1.2333
2020-05-27,3005390.71,0.00,8,0.0000,2001070.49,2.5019,0.5685,1.2334
2020-05-28,3009196.60,0.00,8,0.0000,2003718.40,2.5018,0.5734,1.2365
2020-05-29,2986528.32,118.34,7,0.0000,1989099.62,2.5014,0.5706,1.2751
2020-06-01,3050722.70,0.00,8,0.0000,2031563.90,2.5017,0.5738,1.2757
2020-06-02,3042788.21,378.74,8,0.0001,2026571.72,2.5014,0.5192,1.2732
2020-06-03,3009553.08,0.00,8,0.0000,2026387.32,2.4852,0.5241,1.2766
2020-06-04,3004976.28,307.83,8,0.0001,2002896.95,2.5003,0.5164,1.3170
2020-06-05,2972036.64,221.69,8,0.0001,1980980.65,2.5003,0.5579,1.3667
2020-06-08,2971798.36,190.00,7,0.0001,1980414.65,2.5006,0.5973,1.3973
2020-06-09,2982691.89,0.00,9,0.0000,1988063.11,2.5003,0.6025,1.3538
2020-06-10,2977155.97,122.30,10,0.0000,1982845.34,2.5015,0.5926,1.3071
