security_code,security_name,entry_date,exit_date,holding_days,buys,sells,invested,proceeds,dividends,return_pct,max_drawdown_in_cycle,max_money_drawdown,entry_stop,entry_stop_ma,entry_pv_ratio,entry_upside,entry_intrinsic_value,entry_band_low,entry_band_high,exit_reason
600309,万华化学,2017-05-18,2020-11-30,1292,44,12,4054213.00,8611140.00,392640.00,1.123998,0.491557,0.505032,17.8754,60,0.8305,0.4455,34.2449,31.9950,36.4948,涨幅≥125%清空
600066,宇通客车,2017-06-19,2018-06-28,374,30,5,3133784.00,2798320.00,0.00,-0.107048,0.294690,0.266649,19.7935,60,0.7931,0.2472,26.5412,24.7974,28.2850,跌破建仓日MA60止损
600585,,2017-08-29,2020-09-04,1102,37,12,4740197.00,6873321.00,266595.00,0.450007,0.277820,0.400452,18.0268,60,0.9285,0.0882,26.1162,24.4004,27.8320,换仓：让位给空间更大的601088
002152,,2018-11-20,2018-11-29,9,1,1,117215.00,114260.00,0.00,-0.025210,0.059968,0.059968,5.8810,60,0.9034,0.1329,6.7410,6.2981,7.1839,跌破建仓日MA60止损
002508,,2018-12-04,2018-12-07,3,1,2,195930.00,189240.00,0.00,-0.034145,0.030093,0.026543,21.4695,60,0.8806,0.1308,24.6185,23.0011,26.2359,跌破建仓日MA60止损
000786,北新建材,2018-12-07,2018-12-20,13,2,1,157835.00,147980.00,0.00,-0.062439,0.062694,0.063021,15.1477,60,0.8981,0.0720,17.2588,16.1249,18.3927,跌破建仓日MA60止损
600066,宇通客车,2019-01-02,2019-01-29,27,14,1,920344.00,886860.00,0.00,-0.036382,0.064000,0.074504,11.7878,60,0.5849,0.7026,20.2612,18.9300,21.5924,跌破建仓日MA60止损
002508,,2019-01-10,2019-02-25,46,1,1,13020.00,15540.00,0.00,0.193548,0.046959,0.046959,21.2343,60,0.8936,0.1345,24.6185,23.0011,26.2359,换仓：让位给空间更大的002128
600660,福耀玻璃,2019-01-29,2019-03-11,41,1,1,256850.00,265760.00,0.00,0.034690,0.051292,0.051292,22.3675,60,0.9325,0.0587,24.7198,23.0957,26.3439,换仓：让位给空间更大的002128
600066,宇通客车,2019-02-13,2019-07-23,160,11,2,753681.00,762502.00,27950.00,0.011704,0.241615,0.205422,11.3343,60,0.5967,0.6446,20.2612,18.9300,21.5924,换仓：让位给空间更大的601225
