security_code,last_trade_date
0000003673,2011-04-28
0000004447,2025-07-18
0000006201,2024-11-21
0000006769,2021-04-29
0000007332,2017-06-02
0000008868,2015-05-21
0000009892,2017-12-29
0000011199,2015-02-02
0000012208,2024-11-21
0000012659,2020-11-19
0000016732,2026-08-20
0000018926,2023-05-18
0000023082,2016-01-29
0000029669,2013-02-08
0000030554,2017-10-30
0000030625,2021-05-20
0000031277,2012-08-20
0000034408,2015-07-13
0000037748,2011-07-29
0000037785,2025-05-22
0000038074,2014-07-01
0000039899,2017-07-31
0000039911,2022-04-01
0000042542,2012-09-24
0000042582,2019-04-26
0000046640,2013-08-05
0000046765,2020-07-20
0000050104,2018-10-01
0000051644,2025-11-26
0000054480,2021-12-13
0000055067,2025-12-11
0000058492,2022-02-17
0000061986,2009-10-30
0000063276,2019-08-05
0000064670,2014-09-11
0000067472,2013-12-09
0000069499,2015-01-02
0000070318,2016-06-16
0000071691,2011-02-17
0000072207,2020-10-06
0000072333,2020-08-20
0000078239,2022-11-17
0000078814,2017-04-28
0000079958,2016-02-08
0000085408,2014-10-17
0000085961,2017-08-17
0000086144,2015-02-09
0000090185,2015-11-18
0000095521,2012-06-29
0000096943,2025-05-22
0000098246,2021-01-08
0000101778,2024-11-22
0000103379,2024-05-30
0000104207,2014-11-14
0000104889,2014-11-20
0000106640,2024-05-16
0000108772,2019-05-13
0000203077,2017-01-18
0000203527,2021-04-16
0000216228,2011-12-30
0000315213,2024-08-22
0000315852,2018-08-16
0000316206,2016-11-21
0000317771,2012-02-17
0000350698,2017-10-06
0000354908,2021-05-14
0000701985,2024-11-29
0000703360,2014-07-03
0000712515,2026-08-10
0000717423,2017-09-22
0000718877,2023-10-13
0000721083,2010-10-25
0000721683,2019-09-17
0000732485,2011-06-02
0000743316,2021-09-01
0000743988,2022-02-14
0000754737,2018-12-31
0000764065,2014-05-30
0000766421,2024-02-15
0000791907,2017-03-20
0000793952,2020-08-20
0000794323,2017-11-01
0000794367,2020-06-04
0000795266,2010-02-18
0000800240,2011-02-17
0000800459,2017-05-11
0000801898,2015-12-04
0000804212,2016-05-31
0000804753,2022-08-05
0000812074,2017-01-30
0000814453,2023-11-16
0000815094,2023-01-03
0000816284,2019-11-22
0000816761,2017-08-17
0000818479,2024-05-31
0000820096,2013-10-25
0000832988,2018-05-17
0000835729,2013-11-08
0000836106,2012-06-04
0000850209,2019-10-07
0000850693,2013-08-16
0000851968,2026-02-19
0000858470,2026-05-06
0000859014,2012-03-02
0000859737,2026-04-07
0000861878,2019-01-31
0000863157,2015-03-11
0000864328,2010-06-25
0000865436,2017-08-29
0000868809,2010-08-26
0000877890,2022-11-02
0000883569,2016-03-04
0000884905,2018-10-30
0000885639,2020-11-19
0000885721,2011-12-02
0000890801,2011-03-01
0000891024,2018-05-17
0000891103,2026-05-21
0000899866,2021-07-28
0000904978,2012-12-03
0000906709,2019-11-29
0000908255,2025-05-22
0000909954,2016-03-04
0000912615,2017-05-18
0000915389,2026-01-02
0000916863,2015-06-29
0000918160,2012-02-16
0000921738,2022-11-17
0000945764,2015-05-21
0000945841,2026-08-20
0001001039,2018-08-23
0001001082,2023-08-18
0001004155,2016-07-01
0001011006,2017-08-17
0001012100,2024-02-15
0001013462,2025-07-17
0001018840,2014-02-20
0001018963,2015-08-28
0001020416,2012-02-16
0001021860,2021-11-18
0001024305,2020-11-19
0001038357,2024-05-03
0001043604,2025-07-02
0001047122,2020-04-03
0001053112,2016-06-21
0001054374,2016-02-09
0001056239,2019-06-28
0001065696,2026-02-19
0001066107,2012-07-23
0001070412,2016-05-02
0001076405,2010-04-29
0001087423,2019-07-08
0001105705,2018-06-15
0001108827,2015-08-28
0001110803,2024-08-22
0001111928,2022-08-19
0001124198,2019-08-01
0001135152,2016-10-07
0001137411,2018-11-26
0001141982,2009-11-06
0001144215,2018-08-16
0001144519,2024-02-09
0001158449,2023-10-23
0001159297,2015-07-01
0001163302,2014-08-29
0001163739,2015-05-21
0001168054,2020-05-01
0001170010,2025-12-29
0001170650,2012-05-31
0001274057,2015-09-02
0001275283,2017-08-17
0001288776,2015-11-30
0001306830,2025-05-22
0001326380,2016-06-23
0001336917,2022-08-19
0001339947,2019-12-04
0001352010,2026-07-31
0001358071,2021-01-15
0001359841,2022-02-17
0001361658,2018-07-27
0001365135,2022-02-17
0001370637,2024-11-21
0001377013,2016-05-26
0001385187,2015-02-03
0001418091,2022-10-28
0001419559,2016-04-11
0001419612,2024-02-15
0001424847,2015-06-22
0001430602,2018-03-16
0001441634,2017-04-13
0001451505,2017-09-22
0001452575,2017-07-14
0001457543,2015-03-17
0001463101,2025-11-20
0001491675,2016-07-29
0001492633,2022-10-11
0001518832,2014-05-22
0001519751,2023-02-16
0001526520,2020-02-20
0001530721,2020-07-10
0001532063,2018-12-21
0001545158,2015-07-10
0001578318,2018-10-10
0001578845,2020-05-08
0001585364,2021-11-18
0001590895,2025-11-20
0001590955,2026-05-21
0001596783,2024-12-18
0001604778,2025-02-20
0001618921,2025-08-28
0001623613,2020-11-19
0001649338,2019-04-09
0001679273,2026-05-21
0001681459,2021-04-12
0001688568,2023-11-30
0001725057,2026-02-03
0001732845,2024-07-05
0001770450,2021-05-20
0001786842,2021-05-20
0001821825,2023-12-15
0001826011,2025-10-06
0002011286,2025-02-20
0002064953,2026-02-19
