security_code,exchange,last_trade_date,status,official_name,official_stop_date,source,retrieved_at_utc
000003,sz,2002-04-26,delisted,PT金田Ａ,2002-06-14,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000004,sz,2026-07-13,delisted,国华退,2026-07-14,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000005,sz,2024-03-05,delisted,ST星源,2024-04-26,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000013,sz,2004-04-28,delisted,*ST石化A,2004-09-20,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000015,sz,2001-06-08,delisted,PT中浩Ａ,2001-10-25,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000018,sz,2020-01-06,delisted,神城A退,2020-01-07,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000022,sz,2018-12-20,delisted,,,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000023,sz,2024-07-24,delisted,*ST深天,2024-09-02,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000024,sz,2015-12-07,delisted,招商地产,2015-12-30,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000033,sz,2017-07-06,delisted,新都退,2017-07-07,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000038,sz,2023-07-11,delisted,大通退,2023-07-12,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000040,sz,2025-03-31,delisted,*ST旭蓝,2025-04-30,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000043,sz,2019-12-13,delisted,,,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000046,sz,2023-12-27,delisted,*ST泛海,2024-02-07,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000047,sz,2002-04-29,delisted,ST&nbsp;中&nbsp;侨,2003-05-30,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000091,sz,2015-04-01,delisted,,,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000092,sz,2015-04-01,delisted,,,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000093,sz,2015-04-01,delisted,,,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000150,sz,2023-04-27,delisted,*ST宜康,2023-06-09,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000405,sz,2003-04-25,delisted,ST&nbsp;鑫&nbsp;光,2004-03-19,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000406,sz,2006-04-06,delisted,大明退市,2006-04-21,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000412,sz,2003-04-25,delisted,ST&nbsp;五&nbsp;环,2003-09-19,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000413,sz,2024-08-14,delisted,ST旭电,2024-10-11,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000416,sz,2024-04-24,delisted,*ST民控,2024-06-05,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000418,sz,2019-05-07,delisted,小天鹅Ａ,2019-06-21,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000502,sz,2022-06-24,delisted,绿景退,2022-06-27,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000508,sz,1997-02-28,delisted,琼民源Ａ,1999-07-12,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000511,sz,2018-07-17,delisted,烯碳退,2018-07-18,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000515,sz,2009-04-23,delisted,攀渝钛业,2009-05-06,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000522,sz,2013-03-13,delisted,白云山Ａ,2013-04-26,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000527,sz,2013-08-14,delisted,美的电器,2013-09-18,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000535,sz,2005-04-29,delisted,*ST&nbsp;猴王,2005-09-21,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000540,sz,2023-05-18,delisted,*ST中天,2023-06-30,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000542,sz,2004-01-06,delisted,TCL&nbsp;通讯,2004-01-13,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
