市场日历：INDEX_000001.csv 8,689 个交易日（1990-12-19~2026-08-07）——逐日状态生效日取可得日前一市场交易日
主体重置：4 只 ← /gpfs/work1/0/qt15419/zwang/mm_quant/RayKey/data/processed/entity_reset_dates.csv
  数据订正层（OI-066）生效 4 处：002379 2024-12-31 bps 37.5668→3.2763；002379 2025-12-31 bps 40.1022→3.4974；002128 2025-12-31 bps 21.0472→15.9744；601088 2025-12-31 bps 25.7696→24.1156
三大报表：342/5573 只、6,994 个财年
历史带重建：5573 只｜报告期起点 2002-01-01｜g0=sustainable｜**分档统一为 L2**｜逐日状态生效日=prev_trading_day（可得日前一交易日，与生产当晚吸收同构）
重述前版本（OI-130）：面板行 676／三表财年 16 挂有旧版本、按可得日选用；无存档而延后可得日：面板行 0／三表财年 0
公告日封顶（OI-042，min(记录公告日, 法定截止日)）：逐季财务 90,840/332,100 行（27.4%）｜三大报表 2,641/7,010 财年（37.7%）
  ⚠ 000091 无财务数据，跳过
  ⚠ 000092 无财务数据，跳过
  ⚠ 000093 无财务数据，跳过
  ⚠ 000696 无财务数据，跳过
  ⚠ 000896 无财务数据，跳过
  ⚠ 605081 无财务数据，跳过
逐日状态已写入 data/processed/roic_daily_raw_b2_pit.csv（15,616,215 行，流式）
带已写入 data/processed/roic_bands_b2_pit.csv（319176 行）
ROIC 口径落地路径：equity_fallback 207,424（92.3%）｜growth 16,478（7.3%）｜zero_growth 814（0.4%）
路径分布（每只最新 ok 带，5,471 只；市值占比按有市值代理的 5,457 只算）：
  equity_fallback: 5,172 只（94.5%）｜市值占比 71.4%｜行业前三 制造业 3275、未知 296、信息技术 253
  growth: 257 只（4.7%）｜市值占比 22.5%｜行业前三 制造业 204、采矿业 10、信息传输、软件和信息技术服务业 9
  growth（peak 守卫）: 30 只（0.5%）｜市值占比 4.5%｜行业前三 制造业 21、采矿业 7、批发零售 1
  zero_growth: 12 只（0.2%）｜市值占比 1.6%｜行业前三 制造业 5、金融业 2、批发零售 1
  退回原因：NOPAT 周期守卫·按中位（w≥0.5） 2,953｜OI-088 坡道/分级混合锚 9,413｜g 来源·capital 11,255｜g 来源·none 2,768｜g 来源·trailing 2,835｜主体重置·最新年报×TTM 锚 8｜季报 λ 前滚·信任度改变 5,843｜无三大报表·退回权益口径 268,319｜金融企业退回权益口径 2,437
  ⚠ **92.3% 的带没走 ROIC 口径**，本轮 A/B 主要在测剩下那部分
  名册内无三大报表缺口 → data/interim/valuation_statement_gaps.csv（空）

==============================================================================
历史带重建可行性报告｜ROE 口径=onesided_max｜g0 口径=sustainable｜N=10｜g_T=3.0%
==============================================================================
报告期 × 股票 组合 319176 个：**成功 224716（70%）**｜护栏拒绝 63654（20%）｜输入不全 30806（10%）

护栏拒绝原因分布：
   623  薄权益
   175  ROE_T=3.47% 距 g_T=3.00% 不足 2.0%
   164  ROE_T=4.69% 距 g_T=3.00% 不足 2.0%
   156  ROE_T=4.33% 距 g_T=3.00% 不足 2.0%
   151  ROE_T=3.96% 距 g_T=3.00% 不足 2.0%
   149  ROE_T=1.08% 距 g_T=3.00% 不足 2.0%
   147  ROE_T=4.97% 距 g_T=3.00% 不足 2.0%
   147  ROE_T=4.66% 距 g_T=3.00% 不足 2.0%
   147  ROE_T=4.61% 距 g_T=3.00% 不足 2.0%
   146  ROE_T=2.17% 距 g_T=3.00% 不足 2.0%
   144  ROE_T=4.09% 距 g_T=3.00% 不足 2.0%
   142  ROE_T=1.61% 距 g_T=3.00% 不足 2.0%
   142  ROE_T=4.85% 距 g_T=3.00% 不足 2.0%
   140  ROE_T=3.65% 距 g_T=3.00% 不足 2.0%
   140  ROE_T=3.25% 距 g_T=3.00% 不足 2.0%
   140  ROE_T=4.11% 距 g_T=3.00% 不足 2.0%
   140  ROE_T=4.50% 距 g_T=3.00% 不足 2.0%
   139  ROE_T=3.83% 距 g_T=3.00% 不足 2.0%
   137  ROE_T=2.83% 距 g_T=3.00% 不足 2.0%
   137  ROE_T=4.67% 距 g_T=3.00% 不足 2.0%
   137  ROE_T=2.01% 距 g_T=3.00% 不足 2.0%
   137  ROE_T=2.93% 距 g_T=3.00% 不足 2.0%
   135  ROE_T=4.04% 距 g_T=3.00% 不足 2.0%
   133  ROE_T=3.94% 距 g_T=3.00% 不足 2.0%
   133  ROE_T=4.68% 距 g_T=3.00% 不足 2.0%
   133  ROE_T=3.99% 距 g_T=3.00% 不足 2.0%
   133  ROE_T=4.87% 距 g_T=3.00% 不足 2.0%
   132  ROE_T=4.72% 距 g_T=3.00% 不足 2.0%
   132  ROE_T=2.48% 距 g_T=3.00% 不足 2.0%
   131  ROE_T=1.52% 距 g_T=3.00% 不足 2.0%
   131  ROE_T=2.47% 距 g_T=3.00% 不足 2.0%
   130  ROE_T=3.72% 距 g_T=3.00% 不足 2.0%
   130  ROE_T=1.95% 距 g_T=3.00% 不足 2.0%
   129  ROE_T=4.40% 距 g_T=3.00% 不足 2.0%
   129  ROE_T=2.97% 距 g_T=3.00% 不足 2.0%
   129  ROE_T=4.08% 距 g_T=3.00% 不足 2.0%
   126  ROE_T=1.21% 距 g_T=3.00% 不足 2.0%
   126  ROE_T=3.26% 距 g_T=3.00% 不足 2.0%
   126  ROE_T=4.46% 距 g_T=3.00% 不足 2.0%
   126  ROE_T=4.76% 距 g_T=3.00% 不足 2.0%
   126  ROE_T=3.85% 距 g_T=3.00% 不足 2.0%
   125  ROE_T=4.22% 距 g_T=3.00% 不足 2.0%
   125  ROE_T=2.76% 距 g_T=3.00% 不足 2.0%
   124  ROE_T=4.89% 距 g_T=3.00% 不足 2.0%
   124  ROE_T=3.37% 距 g_T=3.00% 不足 2.0%
