security_code,security_name,board,listing_date,queue_tier,tier_reason,basis,pending_h1,revenue_yi,netprofit_yi,roe_pct,gross_pct,net_margin_pct,revenue_yoy,netprofit_yoy,ocf_ps,bps,prior_class,prior_quality_tier
601857,中国石油,main_board,2007-11-05,A_核心,营收7364亿／ROE3.0%,2026Q1,1,7363.83,483.32,3.00,22.92,6.6,-2.2140451706,1.9,0.461542664503,8.876205462761,boundary_pending,
600028,中国石化,main_board,2001-08-08,A_核心,营收7067亿／ROE2.0%,2026Q1,1,7066.95,170.06,2.04,19.89,2.4,-3.8975679807,28.2,-0.045961993285,6.889643252898,boundary_pending,
601668,中国建筑,main_board,2009-07-29,A_核心,营收5118亿／ROE2.8%,2026Q1,1,5118.47,138.81,2.77,7.93,2.7,-7.8455814387,-7.5,-1.863165981734,12.005539153914,boundary_pending,
300750,宁德时代,chinext,2018-06-11,A_核心,营收2769亿／ROE12.1%,2026H1,0,2769.17,432.84,12.08,23.93,15.6,54.8003691485,41.98,13.015213596184,81.993154443679,worth_attention,L1
600941,中国移动,main_board,2022-01-05,A_核心,营收2665亿／ROE2.1%,2026Q1,1,2664.78,293.42,2.10,25.35,11.0,1.0304822566,-4.2,3.298958760221,65.69419230145,boundary_pending,
601138,工业富联,main_board,2018-06-08,A_核心,营收2511亿／ROE6.2%,2026Q1,1,2510.78,105.95,6.18,7.35,4.2,56.5177808658,102.55,1.261031628047,8.88012963647,boundary_pending,
601390,中国中铁,main_board,2007-12-03,A_核心,营收2357亿／ROE1.4%,2026Q1,1,2357.10,43.59,1.36,7.93,1.8,-5.445019306,-27.65,-3.501041509444,13.02318206149,boundary_pending,
601186,中国铁建,main_board,2008-03-10,A_核心,营收2316亿／ROE1.4%,2026Q1,1,2315.82,43.92,1.38,7.86,1.9,-9.8067010785,-14.72,-4.608109463486,20.466626856782,boundary_pending,
601398,工商银行,main_board,2006-10-27,A_核心,营收2304亿／ROE2.2%,2026Q1,1,2303.70,869.41,2.21,,37.7,8.2698074013,3.31,3.973760335796,11.062448268412,boundary_pending,
601318,中国平安,main_board,2007-03-01,A_核心,营收2184亿／ROE2.5%,2026Q1,1,2184.05,250.22,2.50,,11.5,-6.1838222344,-7.4,7.237905897946,56.235365584272,boundary_pending,
601939,建设银行,main_board,2007-09-25,A_核心,营收2113亿／ROE2.5%,2026Q1,1,2112.56,862.91,2.46,,40.8,11.1464197401,3.53,2.272297400612,13.560129969419,boundary_pending,
601288,农业银行,main_board,2010-07-15,A_核心,营收2063亿／ROE2.6%,2026Q1,1,2062.55,751.85,2.65,,36.5,10.4894093446,4.52,3.385413005775,8.076360851813,boundary_pending,
601988,中国银行,main_board,2006-07-05,A_核心,营收1788亿／ROE2.1%,2026Q1,1,1788.46,566.31,2.12,,31.7,8.4381764274,4.17,0.608940697429,8.483250158281,boundary_pending,
601800,中国交建,main_board,2012-03-09,A_核心,营收1559亿／ROE1.4%,2026Q1,1,1559.46,41.03,1.37,10.16,2.6,0.8419482101,-24.95,-3.388646515251,17.89611167073,boundary_pending,
002594,比亚迪,main_board,2011-06-30,A_核心,营收1502亿／ROE1.6%,2026Q1,1,1502.25,40.85,1.65,18.81,2.7,-11.8191365639,-55.38,0.306048524996,25.436830482348,worth_attention,L2
601319,中国人保,main_board,2018-11-16,A_核心,营收1485亿／ROE2.8%,2026Q1,1,1485.36,88.14,2.80,,5.9,-5.1,-31.4,0.347096599132,7.221327785818,boundary_pending,
601669,中国电建,main_board,2011-10-18,A_核心,营收1452亿／ROE1.3%,2026Q1,1,1452.37,19.51,1.31,10.18,1.3,1.7352832767,-25.56,-2.561195692671,8.543918104152,boundary_pending,
600104,上汽集团,main_board,1997-11-25,A_核心,营收1404亿／ROE1.0%,2026Q1,1,1404.18,30.26,1.01,12.83,2.2,-0.31,0.09,2.782482403383,26.141789471468,boundary_pending,
600153,建发股份,main_board,1998-06-16,A_核心,营收1401亿／ROE4.0%,2026Q1,1,1401.40,7.01,3.97,4.23,0.5,-2.5265929858,20.06,-9.403868623063,14.853164904494,boundary_pending,
600362,江西铜业,main_board,2002-01-11,A_核心,营收1391亿／ROE3.4%,2026Q1,1,1391.24,28.18,3.41,5.07,2.0,25.3876597686,44.31,1.590788573026,24.290149138134,boundary_pending,
600704,物产中大,main_board,1996-06-06,A_核心,营收1342亿／ROE2.3%,2026Q1,1,1342.03,9.71,2.29,3.36,0.7,0.7922289897,-1.3,-1.496729552472,8.150846168935,boundary_pending,
000333,美的集团,main_board,2013-09-18,A_核心,营收1316亿／ROE5.6%,2026Q1,1,1315.81,126.75,5.56,25.57,9.6,2.4546350219,2.03,1.91090853469,30.553633197059,worth_attention,L2
601728,中国电信,main_board,2021-08-20,A_核心,营收1314亿／ROE1.6%,2026Q1,1,1313.94,73.50,1.58,28.12,5.6,-2.3157508458,-17.08,0.253696779923,5.117941344329,boundary_pending,
600938,中国海油,main_board,2022-04-21,A_核心,营收1161亿／ROE4.8%,2026Q1,1,1160.79,391.44,4.77,51.17,33.7,8.6332753102,7.1,1.160278842655,17.612093634296,worth_attention,L2
600050,中国联通,main_board,2002-10-09,A_核心,营收1028亿／ROE1.2%,2026Q1,1,1028.24,21.37,1.24,23.73,2.1,-0.5123380109,-18,0.241293569228,5.460009316998,boundary_pending,
601868,中国能建,main_board,2021-09-28,A_核心,营收1020亿／ROE1.2%,2026Q1,1,1020.18,14.54,1.25,10.80,1.4,1.6413615409,-9.75,-0.536200946547,2.698235267246,boundary_pending,
600057,厦门象屿,main_board,1997-06-04,A_核心,营收991亿／ROE2.4%,2026Q1,1,991.21,5.21,2.42,3.02,0.5,2.0452620387,2.42,-2.713847057503,5.549946712829,boundary_pending,
601899,紫金矿业,main_board,2008-04-25,A_核心,营收985亿／ROE10.3%,2026Q1,1,984.98,200.79,10.35,36.33,20.4,24.7937696755,97.5,1.046678580765,7.418933205038,worth_attention,L2
601658,邮储银行,main_board,2019-12-10,A_核心,营收962亿／ROE2.4%,2026Q1,1,961.62,257.26,2.43,,26.8,7.6082942605,1.9,2.563354011408,8.596710937175,boundary_pending,
601628,中国人寿,main_board,2007-01-09,A_核心,营收933亿／ROE3.3%,2026Q1,1,932.91,195.05,3.27,,20.9,-15.326247765,-32.3,6.206651335574,21.166106492128,boundary_pending,
601601,中国太保,main_board,2007-12-25,A_核心,营收925亿／ROE3.2%,2026Q1,1,925.47,100.41,3.20,,10.8,-1.2484394507,4.3,6.368295218295,33.222661122661,boundary_pending,
