effective_from,effective_to,screen_year,security_code,security_name,mcap_rank,mcap_yi,close,shares_yi
2008-07-01,2008-12-31,2008,600315,上海家化,301,52.27,28.55,1.831
2008-07-01,2008-12-31,2008,000917,电广传媒,308,51.80,16.18,3.201
2008-07-01,2008-12-31,2008,600038,中直股份,311,51.42,15.24,3.374
2008-07-01,2008-12-31,2008,600138,中青旅,312,51.19,16.95,3.020
2008-07-01,2008-12-31,2008,600497,驰宏锌锗,313,51.18,15.43,3.317
2008-07-01,2008-12-31,2008,600066,宇通客车,316,51.07,13.27,3.849
2008-07-01,2008-12-31,2008,000897,津滨发展,319,50.94,4.80,10.613
2008-07-01,2008-12-31,2008,000931,中 关 村,321,50.68,7.50,6.757
2008-07-01,2008-12-31,2008,600961,株冶集团,326,49.31,9.16,5.383
2008-07-01,2008-12-31,2008,000513,丽珠集团,330,48.86,16.14,3.027
2008-07-01,2008-12-31,2008,600122,-,331,48.85,15.36,3.180
2008-07-01,2008-12-31,2008,600971,恒源煤电,333,48.66,25.50,1.908
2008-07-01,2008-12-31,2008,600616,金枫酒业,336,48.53,13.08,3.710
2008-07-01,2008-12-31,2008,600704,物产中大,337,48.42,12.99,3.727
2008-07-01,2008-12-31,2008,000028,国药一致,345,47.41,16.35,2.900
2008-07-01,2008-12-31,2008,600333,长春燃气,346,46.97,7.71,6.092
2008-07-01,2008-12-31,2008,000543,皖能电力,350,46.38,6.26,7.410
2008-07-01,2008-12-31,2008,000009,中国宝安,352,46.31,4.87,9.510
2008-07-01,2008-12-31,2008,600607,-,355,46.11,12.54,3.677
2008-07-01,2008-12-31,2008,000850,华茂股份,357,45.74,7.39,6.189
2008-07-01,2008-12-31,2008,000036,华联控股,362,45.43,3.52,12.907
2008-07-01,2008-12-31,2008,600823,-,365,45.17,9.41,4.800
2008-07-01,2008-12-31,2008,600127,金健米业,366,44.78,8.26,5.421
2008-07-01,2008-12-31,2008,600845,宝信软件,372,44.28,16.95,2.612
2008-07-01,2008-12-31,2008,000848,承德露露,374,44.16,18.60,2.374
2008-07-01,2008-12-31,2008,000829,天音控股,375,44.05,4.84,9.101
2008-07-01,2008-12-31,2008,000911,*ST广糖,376,44.03,16.80,2.621
2008-07-01,2008-12-31,2008,000503,国新健康,381,42.99,5.70,7.543
