effective_from,effective_to,screen_year,security_code,security_name,source,retrieved
2016-06-13,,2016,300036,超图软件,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-06-13,,2016,300456,耐威科技,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-06-13,,2016,600072,钢构工程,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-06-13,,2016,600641,万业企业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-06-13,,2016,603299,井神股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-12-12,,2016,000650,仁和药业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-12-12,,2016,603108,润达医疗,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-12-12,,2016,300236,上海新阳,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-12-12,,2016,000603,盛达矿业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-12-12,,2016,000688,建新矿业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-12-12,,2016,000885,同力水泥,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-12-12,,2016,000059,华锦股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-12-12,,2016,002537,海立美达,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-12-12,,2016,300457,赢合科技,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-12-12,,2016,000795,英洛华,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-12-12,,2016,600963,岳阳林纸,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-12-12,,2016,002675,东诚药业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-12-12,,2016,300409,道氏技术,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2016-12-12,,2016,600490,鹏欣资源,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-06-12,,2017,600997,开滦股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-06-12,,2017,601126,四方股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-06-12,,2017,603393,新天然气,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-06-12,,2017,300323,华灿光电,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-06-12,,2017,600075,新疆天业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-06-12,,2017,600252,中恒集团,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-06-12,,2017,600456,宝钛股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-06-12,,2017,600783,鲁信创投,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-06-12,,2017,600997,开滦股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-06-12,,2017,601126,四方股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-06-12,,2017,603393,新天然气,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-06-12,,2017,603919,金徽酒,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-12-11,,2017,000672,上峰水泥,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-12-11,,2017,603881,数据港,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-12-11,,2017,601952,苏垦农发,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-12-11,,2017,300633,开立医疗,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-12-11,,2017,603612,索通发展,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-12-11,,2017,002859,洁美科技,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-12-11,,2017,000550,江铃汽车,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-12-11,,2017,603323,吴江银行,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-12-11,,2017,600812,华北制药,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-12-11,,2017,002237,恒邦股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-12-11,,2017,603043,广州酒家,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-12-11,,2017,300613,富瀚微,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2017-12-11,,2017,000917,电广传媒,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,002727,一心堂,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,603533,掌阅科技,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,002061,浙江交科,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,002895,川恒股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,000810,创维数字,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,300398,飞凯材料,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,002911,佛燃股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,000030,富奥股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,000791,甘肃电投,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,002158,汉钟精机,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,000923,河北宣工,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,603103,横店影视,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,300726,宏达电子,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,002906,华阳集团,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,002020,京新药业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,601908,京运通,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,002258,利尔化学,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,300298,三诺生物,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,601369,陕鼓动力,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,002267,陕天然气,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,000555,神州信息,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,000935,四川双马,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,600055,万东医疗,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
