effective_from,effective_to,screen_year,security_code,security_name,source,retrieved
2005-04-08,,2005,600690,青岛海尔,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,600660,福耀玻璃,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,600585,海螺水泥,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,600519,贵州茅台,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,600362,江西铜业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,600309,烟台万华,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,000625,长安汽车,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,000651,格力电器,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,000568,泸州老窖,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,000425,徐工科技,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,000157,中联重科,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,000063,中兴通讯,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,000001,深发展A,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,600009,上海机场,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,600010,包钢股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,600015,华夏银行,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,600016,民生银行,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,600019,宝钢股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,600028,中国石化,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,600029,南方航空,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,600030,中信证券,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,600031,三一重工,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,600036,招商银行,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,600050,中国联通,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,000858,五粮液,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,000625,长安汽车,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,000651,格力电器,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,000568,泸州老窖,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,000425,徐工科技,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,000157,中联重科,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,000063,中兴通讯,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,000001,深发展A,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-04-08,,2005,000002,万科A,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2005-07-01,,2005,000538,云南白药,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2006-01-04,,2006,000768,西飞国际,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2006-07-19,,2006,601988,中国银行,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2006-08-15,,2006,601006,大秦铁路,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2006-11-10,,2006,601398,工商银行,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2007-01-04,,2007,600547,山东黄金,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2007-01-04,,2007,601111,中国国航,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2007-01-04,,2007,600048,保利地产,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2007-01-23,,2007,601628,中国人寿,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2007-02-26,,2007,601166,兴业银行,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2007-03-15,,2007,601318,中国平安,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2007-04-30,,2007,601600,中国铝业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2007-05-18,,2007,601998,中信银行,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2007-05-29,,2007,601328,交通银行,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2007-10-23,,2007,601088,中国神华,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2007-11-19,,2007,601857,中国石油,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2008-01-02,,2008,000338,潍柴动力,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2008-01-02,,2008,000895,双汇发展,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2008-01-02,,2008,002142,宁波银行,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2008-01-02,,2008,600111,包钢稀土,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2008-01-02,,2008,601009,南京银行,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2008-01-02,,2008,601169,北京银行,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2008-07-01,,2008,601390,中国中铁,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2008-07-01,,2008,601601,中国太保,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2008-07-01,,2008,601939,建设银行,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2009-01-05,,2009,600588,用友软件,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2009-01-05,,2009,601186,中国铁建,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2009-01-05,,2009,601186,中国铁建,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2009-01-05,,2009,601899,紫金矿业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2009-07-01,,2009,601766,中国南车,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2010-01-04,,2010,601618,中国中冶,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2010-01-04,,2010,601668,中国建筑,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2010-07-01,,2010,002304,洋河股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2010-07-01,,2010,600999,招商证券,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2010-07-01,,2010,601688,华泰证券,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2010-07-01,,2010,601888,中国国旅,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2010-07-29,,2010,601288,农业银行,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2011-01-04,,2011,000776,广发证券,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2011-01-04,,2011,002415,海康威视,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2011-01-04,,2011,600115,东方航空,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2011-01-04,,2011,600276,恒瑞医药,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2011-01-04,,2011,600406,国电南瑞,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
