signal_date,exec_date,source_code,close,ma,ma_prev,weak_run,cross_count,hold_pv,trigger_code,trigger_pv,block_reason,next_source,shares_held
2013-08-29,2013-08-30,600066,17.4800,17.7265,17.6360,0,0,0.8705,000338,0.4754,chop:flat;gap=-0.01391;run=1;slope=0.005131549104105071;cross=4,600585,40140
2013-10-24,2013-10-25,601988,2.7900,2.8000,2.8020,0,0,1.0168,600309,0.6696,chop:flat;gap=-0.00357;run=1;slope=-0.0007137758743754885;cross=5,,100
2013-11-25,2013-11-26,601988,2.8100,2.8115,2.8045,0,0,1.0578,600585,0.6567,chop:flat;gap=-0.00053;run=1;slope=0.002495988589766407;cross=5,,48700
2013-12-10,2013-12-11,601988,2.8200,2.8200,2.8120,0,0,1.0947,601088,0.5424,chop:flat;gap=-0.00000;run=1;slope=0.002844950213371167;cross=4,,48700
2014-07-10,2014-07-11,601988,2.5400,2.5675,2.5590,0,0,0.8362,600066,0.6639,chop:flat;gap=-0.01071;run=2;slope=0.003321610003907738;cross=7,,500
2014-07-23,2014-07-24,601988,2.5600,2.5667,2.5617,0,0,0.8427,000792,0.5680,chop:flat;gap=-0.00261;run=1;slope=0.0019518288636450887;cross=5,,100
