security_code,security_name,currency,status,before_midpoint,after_midpoint,before_model_report_ccy,after_model_report_ccy,after_model_trade_ccy,fair_price_low,fair_price_high,price,price_as_of,pv,thin_equity_ratio,evidence_date,report_event
03888,金山软件,HKD,ok,27.915,27.915,23.925983174925598,23.925983174925598,27.916358648839687,25.12,30.71,24.20,2026/09/10,0.867,-1.2790985556337824,2026-08-19,中报（2026H1）
00700,腾讯控股,HKD,ok,457.79999999999995,457.79999999999995,392.3581314998866,392.3581314998866,457.7956206714377,412.02,503.58,425.60,2026/09/10,0.93,0.016900683142396577,2026-08-12,中报（2026H1）
09992,泡泡玛特,HKD,ok,25.630000000000003,25.630000000000003,21.967285555633957,21.967285555633957,25.630989440602587,23.07,28.19,152.70,2026/09/10,5.958,-0.46376107911378006,2026-08-20,中报（2026H1）
09618,京东集团,HKD,ok,48.8,48.8,41.82809204119441,41.82809204119441,48.80418123182481,43.92,53.68,105.50,2026/09/10,2.162,0.4729081997694813,2026-08-13,二季报（2026Q2）
09988,阿里巴巴,HKD,ok,46.565,46.565,39.91153076091635,39.91153076091635,46.567975861221974,41.91,51.22,106.90,2026/09/10,2.296,0.20850425079961718,2026-08-20,一季报（FY2027Q1）
03690,美团,HKD,rejected,,,,,,,,74.75,2026/09/10,,,2026-08-28,二季报（2026Q2）
06862,海底捞,HKD,ok,5.765000000000001,5.765000000000001,4.940246178253637,4.940246178253637,5.764180435862778,5.19,6.34,9.91,2026/09/10,1.72,0.030838983577700135,2026-08-25,中报（2026H1）
TSM,台积电,USD,ok,311.7,311.7,1979.7955694426373,1979.7955694426373,311.70421717047844,280.53,342.87,428.03,2026-09-10,1.373,-0.04970238553764316,2026-07-16,二季报（2026Q2）
ADBE,Adobe,USD,ok,214.79000000000002,225.33,214.78646263603542,225.32841433658737,225.32841433658737,202.80,247.86,248.83,2026-09-10,1.104,0.013777571760313852,2026-09-10,三季报（FY2026Q3，官方业绩三表）
PDD,拼多多,USD,ok,139.85500000000002,139.85500000000002,235.00420507411474,235.00420507411474,139.8522383837624,125.87,153.84,77.84,2026-09-10,0.557,-0.47556559201379517,2026-08-24,二季报（2026Q2）
MU,美光科技,USD,ok,199.8,199.8,199.79830978342386,199.79830978342386,199.79830978342386,179.82,219.78,977.41,2026-09-10,4.892,-0.0879541554885236,2026-06-24,三季报（FY2026Q3）
NVDA,英伟达,USD,ok,71.99000000000001,71.99000000000001,71.99003537088541,71.99003537088541,71.99003537088541,64.79,79.19,218.36,2026-09-10,3.033,-0.00932996800112895,2026-08-26,二季报（FY2027Q2）
ASML,阿斯麦,USD,ok,409.855,409.855,353.99939131389624,353.99939131389624,409.8590861676908,368.87,450.84,1687.43,2026-09-10,4.117,-0.03718896276933188,2026-07-15,二季报（2026Q2）
GOOGL,谷歌-A,USD,ok,219.58499999999998,219.58499999999998,219.58599727217208,219.58599727217208,219.58599727217208,197.63,241.54,332.60,2026-09-10,1.515,-0.05191404106454428,2026-07-22,二季报（2026Q2）
AAPL,苹果,USD,ok,149.85500000000002,149.85500000000002,149.85011023925222,149.85011023925222,149.85011023925222,134.87,164.84,326.57,2026-09-10,2.179,0.013988184859491295,2026-07-30,三季报（FY2026Q3）
DIS,迪士尼,USD,ok,26.46,37.83,26.46025807474146,37.82872507772121,37.82872507772121,34.05,41.61,105.82,2026-09-10,2.797,0.42951880610902526,2026-08-05,三季报（FY2026Q3）
UBER,优步,USD,ok,38.400000000000006,38.400000000000006,38.401081344840286,38.401081344840286,38.401081344840286,34.56,42.24,72.56,2026-09-10,1.89,0.096785498825647,2026-08-05,二季报（2026Q2）
GLW,康宁,USD,ok,21.700000000000003,21.700000000000003,21.699340784828017,21.699340784828017,21.699340784828017,19.53,23.87,163.12,2026-09-10,7.517,0.2766547353797847,2026-07-28,二季报（2026Q2）
MSFT,微软,USD,ok,264.21,264.21,264.20801705115076,264.20801705115076,264.20801705115076,237.79,290.63,492.44,2026-09-10,1.864,-0.01542479127183677,2026-07-29,年报（FY2026）
META,Meta Platforms,USD,ok,576.8399999999999,576.8399999999999,576.8398797593436,576.8398797593436,576.8398797593436,519.16,634.52,644.38,2026-09-10,1.117,-0.0013740646365066496,2026-07-29,二季报（2026Q2）
005930,三星电子,KRW,unavailable,,,,,,,,269000,2026-09-10,,,2026-07-30,二季报（2026Q2）
000660,SK海力士,KRW,unavailable,,,,,,,,1853000,2026-09-10,,,2026-07-29,二季报（2026Q2）
BRK.B,伯克希尔哈撒韦,USD,keep,417.1,417.1,,,,375.39,458.81,507.00,2026-09-10,1.216,,2026-08-08,二季报（2026Q2）
AMD,AMD,USD,ok,17.39,17.39,17.392007464241285,17.392007464241285,17.392007464241285,15.65,19.13,503.60,2026-09-10,28.959,-0.45764870461805773,2026-08-04,二季报（2026Q2）
SPCX,SpaceX,USD,unavailable,,,,,,,,148.18,2026-09-10,,,2026-08-04,二季报（2026Q2）
TSLA,特斯拉,USD,ok,32.945,32.945,32.94175855384711,32.94175855384711,32.94175855384711,29.65,36.24,363.56,2026-09-10,11.035,-0.38089515656654305,2026-07-22,二季报（2026Q2）
INTC,英特尔,USD,rejected,,,,,,,,100.32,2026-09-10,,,2026-07-23,二季报（2026Q2）
00267,中信股份,HKD,keep,18.0,18.0,,,,16.20,19.80,13.72,2026/09/10,0.762,,2026-08-28,中报（2026H1）
00316,东方海外国际,HKD,ok,166.31,166.31,142.53536646374658,142.53536646374658,166.30741488257024,149.68,182.94,145.60,2026/09/10,0.875,-0.452337370360158,2026-08-27,中报（2026H1）
