group,P_pp,CAGR_pp,P25_pp,DD5_pp,MDD_pp,min_ratio_delta,turnover_delta,negative_flips,forced_delta,identical_nav_paths,cagr_positive,P_positive,track_a_pass
full,-0.09407089000000313,-0.13658010954746835,-0.39603751184890124,-0.05196381247360993,0.0,0.0,-0.058384932114786015,0,0.0,0,3,1,True
A,0.0,-0.030183855135468285,0.0,0.0,0.0,0.0,-0.0071734464670574205,0,0.0,2,5,0,
